Latitude,Longitude,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,DN,Crop_Name,Height,height_numeric,Duration,duration_numeric
18.96171,83.75268,-6.457824544,-5.321307668,-6.067374193,-9.248962256,-6.047879657,-7.475661427,-9.001000159,-7.641668079,-8.747786094,-6.495818938,-6.218594508,-7.205275742,-7.179106933,-2.883909187,-11.4170815,-18.06006055,-15.98688065,-10.70373004,-14.36080308,-17.75100258,-12.57301777,-15.35116916,-14.40995866,-15.42161432,-11.39295339,-14.80933347,-12.92437224,-14.92869495,-14.98108456,-15.34033047,4,No Crop/Fallow,,,,
18.96963,83.73912,-10.50090759,-11.63116741,-11.17039032,-12.58067815,-10.18922775,-12.02595544,-12.02152453,-13.27973934,-12.0011546,-10.32343778,-9.270193369,-13.05134126,-10.4433077,-13.53971348,-12.70851674,-18.99949005,-17.37182554,-18.18845958,-15.95731319,-18.14794826,-16.40651526,-16.13412366,-16.85353632,-17.17248796,-14.30647128,-18.72690554,-14.01672631,-11.74086086,-23.87906258,-18.30663315,4,No Crop/Fallow,,,,
18.96984,83.73867,-11.56787447,-12.51403956,-11.9688188,-14.04206502,-12.78576666,-7.667664676,-6.964057795,-12.81561928,-10.2089676,-10.86681013,-8.922191243,-10.90135549,-12.01718515,-12.10683352,-7.867883223,-18.41940916,-19.82749507,-20.56892353,-20.23823121,-17.72179136,-17.86085991,-16.95657706,-20.27704174,-17.54781547,-15.96426106,-16.15890477,-15.14975794,-23.15032306,-24.02480796,-23.74429944,36,Rice,,,,
18.97038,83.73905,-13.66606335,-13.0058695,-13.36905745,-15.17917572,-13.44399486,-10.53211375,-10.55982239,-15.79698883,-10.51809193,-12.54659021,-13.67442896,-11.90112693,-11.36182625,-13.38220499,-11.7433255,-17.12858918,-17.45568723,-21.38784889,-18.97860016,-21.45239949,-22.98013907,-18.96378779,-20.2270638,-18.85051206,-16.69802936,-17.46819962,-21.21163475,-19.64373507,-20.29966229,-19.26429762,4,No Crop/Fallow,,,,
18.98888,83.73577,-9.158074393,-13.70691945,-12.20555767,-11.79584369,-10.19488931,-12.83055878,-11.16916612,-15.01328213,-10.17870283,-8.60192445,-9.267815738,-7.349615684,-8.85333057,-9.963274622,-10.48667617,-15.96485008,-16.8977518,-12.19679146,-17.3880895,-17.31025243,-18.06132657,-22.57066489,-18.79332104,-13.98969639,-12.91701385,-18.43521503,-11.64953482,-16.70295362,-22.56822056,-20.05045501,4,No Crop/Fallow,,,,
19.00384,83.88604,-13.96113242,-9.83113872,-17.31560656,-9.475634031,-11.91614086,-7.733753842,-11.7948085,-12.9468455,-14.40440133,-13.95689453,-9.815652548,-13.35016342,-10.19953228,-11.46851568,-7.991427616,-18.30402256,-18.29390417,-23.85888557,-25.45950037,-19.04222122,-17.30675847,-18.85989222,-20.3303118,-20.55900595,-17.46211839,-16.6228628,-18.23549354,-16.32109789,-11.00046934,-14.75447052,4,No Crop/Fallow,,,,
19.00555,83.71963,-10.88301379,-12.41717284,-12.02298691,-15.49205997,-10.47834677,-8.889396538,-8.141650108,-11.4690035,-14.11019551,-9.473359085,-12.92036708,-9.764404005,-10.66520295,-7.00261458,-7.908939593,-22.52446745,-20.93148595,-16.4095474,-17.90310688,-16.86458431,-18.71382936,-15.58487424,-16.47841194,-18.21445473,-20.75628386,-19.01144387,-15.57334252,-16.73627064,-17.88280484,-14.31288983,4,No Crop/Fallow,,,,
19.00583,83.71921,-9.722862586,-12.42485138,-10.5775993,-11.30786771,-8.877910973,-6.359337569,-13.62823102,-10.85559839,-11.631859,-8.147007672,-9.405688362,-11.50945155,-11.45331098,-11.56102692,-7.258355909,-16.43435188,-17.52480301,-21.62570953,-21.66932561,-16.18431225,-13.31856146,-17.37573563,-17.6147057,-17.82982697,-13.12586754,-16.18507908,-18.42716228,-16.98611116,-15.80546882,-21.65963869,4,No Crop/Fallow,,,,
19.00589,83.72351,-6.623821765,-11.49287134,-11.57298527,-8.058018721,-7.061664765,-9.309913289,-7.628122536,-13.31907943,-7.168415346,-5.706698571,-7.793744006,-4.751095595,-6.240904082,-5.594796267,-7.180245801,-14.06592769,-12.85260956,-15.87509915,-16.01685382,-13.8146901,-15.97565829,-13.45427854,-16.71300716,-14.11338422,-12.59833061,-14.7406072,-16.81933203,-12.67177225,-12.06352552,-13.21952492,4,No Crop/Fallow,,,,
19.0062,83.72326,-14.18366408,-15.03214249,-13.51310896,-12.22377262,-11.71012805,-11.0372335,-6.129190271,-12.21149754,-8.17288411,-8.365440675,-11.85965354,-6.624180185,-5.487154868,-8.696549971,-8.816128032,-23.50668863,-20.80799909,-17.16031133,-18.85411742,-22.23389771,-17.07728117,-13.0324002,-21.42849166,-19.0739796,-17.53458539,-17.67498218,-16.46427494,-16.88357064,-13.93032089,-20.76964226,4,No Crop/Fallow,,,,
