Predicted_height,Predicted_duration,Crop_Name,Count
1,1,Wheat,1066
1,1,Mustard,474
1,1,Maize,97
1,1,Lentil,64
1,1,Sugarcane,57
1,1,Gram,40
1,1,Rice,38
1,1,Garlic,19
1,1,Green pea,12
1,1,Potato,11
1,1,Bersem,7
1,1,Coriander,7
1,2,Wheat,139
1,2,Mustard,78
1,2,Maize,45
1,2,Rice,13
1,2,Sugarcane,8
1,2,Garlic,7
1,2,Gram,6
1,2,Lentil,6
1,2,Potato,4
1,2,Coriander,3
1,2,Green pea,3
1,3,Wheat,30
1,3,Mustard,24
1,3,Maize,14
1,3,Sugarcane,10
1,3,Lentil,4
1,3,Rice,2
1,3,Potato,2
1,3,Green pea,1
1,3,Garlic,1
2,1,Wheat,386
2,1,Mustard,218
2,1,Maize,49
2,1,Sugarcane,41
2,1,Rice,31
2,1,Lentil,26
2,1,Potato,11
2,1,Garlic,10
2,1,Green pea,8
2,1,Gram,6
2,1,Bersem,5
2,1,Coriander,1
2,2,Wheat,90
2,2,Mustard,76
2,2,Maize,27
2,2,Sugarcane,12
2,2,Garlic,12
2,2,Rice,8
2,2,Lentil,6
2,2,Gram,5
2,2,Green pea,4
2,2,Potato,4
2,2,Bersem,1
2,3,Wheat,62
2,3,Mustard,35
2,3,Sugarcane,24
2,3,Maize,7
2,3,Lentil,4
2,3,Green pea,4
2,3,Rice,3
2,3,Bersem,3
2,3,Potato,3
2,3,Coriander,1
3,1,Wheat,11
3,1,Mustard,11
3,1,Maize,5
3,1,Sugarcane,2
3,1,Rice,1
3,2,Maize,6
3,2,Mustard,4
3,2,Wheat,3
3,2,Potato,1
3,2,Sugarcane,1
3,3,Wheat,20
3,3,Mustard,9
3,3,Sugarcane,9
3,3,Maize,7
3,3,Potato,4
3,3,Rice,1
3,3,Coriander,1
