Latitude,Longitude,DN,Crop_Name,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37,Height,height_numeric,Duration,duration_numeric,Predicted_duration,Correct
18.96984,83.73867,36,Rice,-11.56787447,-12.51403956,-11.9688188,-14.04206502,-12.78576666,-7.667664676,-6.964057795,-12.81561928,-10.2089676,-10.86681013,-8.922191243,-10.90135549,-12.01718515,-12.10683352,-7.867883223,-18.41940916,-19.82749507,-20.56892353,-20.23823121,-17.72179136,-17.86085991,-16.95657706,-20.27704174,-17.54781547,-15.96426106,-16.15890477,-15.14975794,-23.15032306,-24.02480796,-23.74429944,0.159406185,0.195887163,0.237128332,0.281411111,0.073637314,0.375900626,0.318410248,0.351246536,0.493748397,0.42383194,0.146684408,0.279544979,0.032514203,0.397189975,0.05803629,0.199464843,0.370082229,0.123951539,0.392123699,0.130364373,0.027946889,0.162495717,0.042437684,0.177030653,0.017477049,0.011324259,0.183751538,0.537784696,0.030827759,0.216888636,0.195891201,0.265000731,0.107679233,0.031773791,0.361107796,0.461091012,0.224231184,Short,1,Medium,2,1,False
19.05671,83.88234,36,Rice,-11.4328329,-11.73469475,-9.469817875,-10.93337768,-11.26455911,-11.83956555,-12.38141399,-9.945750232,-12.09571103,-10.96247201,-12.10671499,-10.55976497,-10.83632565,-8.883769069,-9.732160295,-16.9294047,-20.39230818,-22.69118537,-18.62347381,-18.38944623,-15.65461605,-20.13626148,-15.75627113,-16.1154244,-13.88150016,-21.41513222,-24.64932342,-19.04918039,-15.62455233,-20.19170581,0.209577754,0.269282103,0.303508013,0.356738985,0.288888901,0.345542699,0.34375,0.406138122,0.461279452,0.074411139,0.328193843,0.156346217,0.188918874,-0.001266769,0.137638196,0.066008843,0.399945468,0.099083893,0.417302489,0.31996578,0.04454555,0.002402777,0.032291707,0.172569022,0.004615967,0.011434478,0.486561596,0.355371982,-0.007617838,0.353218019,0.108709008,0.429122686,0.231640577,0.030633593,0.296256691,0.481301934,0.199830055,Short,1,Medium,2,1,False
19.057,83.05313,36,Rice,-11.92939209,-7.018267323,-10.29503896,-5.157202656,-7.889402093,-11.41470509,-9.925312186,-6.990788944,-9.995622237,-8.670081584,-8.376301746,-9.376935361,-6.089986189,-10.31901117,-6.626111102,-16.14221426,-17.76239524,-14.78857342,-16.1599675,-15.73354069,-16.68322931,-14.59006415,-14.44661266,-14.62947855,-12.67987735,-16.62619123,-12.94700399,-15.57397718,-13.53042522,-16.64825048,0.244760215,0.235125452,0.089094795,0.275468916,0.300633967,0.379610986,0.29927963,0.50859952,0.458594292,0.519463062,0.027394742,0.070229955,0.32009396,0.015845241,-0.014379494,0.003388979,-0.012877759,0.362883598,0.238938048,-6.55e-05,-0.003090617,0.231240422,-0.032149356,-0.012106825,0.004516998,0.030121047,0.260236323,0.010571185,0.501982152,0.0,-0.009595016,0.004635639,-0.020307388,0.029066561,0.137858808,0.000895957,0.69987762,Short,1,Medium,2,1,False
19.11039,83.79178,36,Rice,-5.437643464,-11.40235804,-10.029122,-7.647202729,-8.446212687,-8.133744039,-11.88044999,-12.03527908,-6.383164177,-9.195419564,-8.130543642,-8.206579939,-7.622764118,-11.16919111,-7.632853775,-12.07279596,-14.53521783,-18.47186105,-17.21863005,-16.35697194,-15.05370091,-15.26753538,-15.58759005,-11.80673063,-16.05425972,-17.25947547,-11.81583323,-19.07438714,-23.19528588,-17.18163539,0.218029886,0.295826733,0.347109735,0.407901764,0.203864351,0.367121845,0.35712412,0.360019535,0.454792291,0.250529885,0.127643511,0.189846858,0.017329717,0.393491119,-0.005287325,0.086874291,0.432065219,0.025507998,0.55544281,0.240397736,0.023168908,-0.011581469,0.023464123,0.142736837,0.013940357,0.008718517,0.527172565,0.433792233,0.161223963,0.165521979,0.070060775,-0.039621018,0.15522556,0.014704817,0.347434551,0.400677979,0.158673346,Short,1,Medium,2,3,False
19.11252,83.79156,36,Rice,-9.177741613,-16.00335557,-12.09966207,-13.35707656,-12.27753919,-8.357758016,-11.20871936,-11.593154,-10.28164836,-10.66189147,-10.52345117,-9.076692763,-12.15077843,-8.606885356,-8.884543371,-16.4379289,-19.49905831,-17.211906,-21.90579474,-14.84730663,-17.38226545,-16.34968543,-14.93705904,-19.44247274,-17.71063685,-14.58463477,-17.15684804,-19.87527648,-18.00966737,-18.05376182,0.125288233,0.165346012,0.173666283,0.178658038,0.148841888,0.20568122,0.217722207,0.168835565,0.281855375,0.291277617,0.135631248,0.168491989,0.014504697,0.121375419,-0.009510682,0.081688389,0.397624046,0.035504725,0.535939455,0.25609991,0.052595705,-0.030883191,0.017427884,0.145454541,0.006778512,0.011085547,0.542926848,0.411853343,0.167905658,0.247933879,0.068811245,0.356074512,0.150401518,0.011230974,0.502985358,0.614406765,0.100524381,Short,1,Medium,2,1,False
19.12315,83.37972,15,Potato,-6.476274169,-8.83993185,-7.629707917,-8.194239189,-9.38092347,-4.600313966,-5.115157708,-3.936172742,-5.592112777,-7.617384635,-6.373074005,-4.317583238,-7.485069764,-7.153674469,-6.844515646,-14.52903112,-15.79036465,-14.51525526,-14.44947234,-16.08719044,-14.02499413,-13.35585254,-11.58958547,-10.33319853,-13.16022708,-12.15008321,-14.88444585,-16.51712888,-16.36689044,-13.53510922,0.286496997,0.29519546,0.150798053,0.381291896,0.240562707,0.420014918,0.470328182,0.554719388,0.629414022,0.591616631,0.304395258,0.13883391,0.282203943,0.31703943,-0.013961944,0.03958815,0.076663621,0.492695153,0.303004593,0.187768415,0.206886292,0.320763558,0.017249385,0.068133697,0.005392696,0.301354051,0.241015777,0.121710904,0.344316036,0.262654662,0.292019427,0.289959371,0.020389462,0.063740008,0.548059523,0.290759891,0.413175583,Short,1,Medium,2,3,False
19.12347,83.38089,5,Green pea,-11.72803061,-16.81860716,-13.55789866,-15.14569833,-14.22645152,-11.50633513,-5.487440593,-4.097801457,-5.40286412,-9.891587204,-14.16058778,-6.517111178,-6.716090042,-15.39358695,-6.82460634,-22.68503877,-20.03609232,-19.88094789,-19.1784258,-21.36547304,-15.752282,-16.87268533,-13.34125047,-14.56146629,-16.70844793,-12.80035145,-17.48597535,-18.11734989,-17.71211307,-18.93339771,0.161242977,0.17187731,0.098035783,0.205109552,0.181203693,0.322705895,0.325960219,0.489662141,0.525933623,0.431252152,0.226320177,0.119847402,0.190410584,0.204177335,0.010514113,0.039451074,0.076805271,0.378051847,0.231657431,0.17506893,0.183461174,0.238130391,0.011303897,0.064621925,0.01160258,0.243148983,0.216091394,0.060080886,0.355827779,0.292202592,0.251700014,0.092158176,0.020087741,0.072840787,0.357294232,0.224097863,0.36488533,Short,1,Medium,2,1,False
19.13583,83.10351,2,Mustard,-6.185060998,-8.57283554,-8.100099606,-6.465667891,-8.19105664,-9.404137153,-3.754222798,-7.083654497,-6.084835987,-3.705600507,-8.013735313,-11.85368794,-6.755882354,-5.568795198,-6.579903697,-15.49628155,-19.62450839,-16.62751088,-12.76424048,-18.01907252,-17.47510796,-16.33538275,-12.34811886,-15.499451,-14.86949026,-14.52917617,-15.39934798,-14.26765136,-15.46158073,-16.14867201,0.211291701,0.235521242,0.06102835,0.284613192,0.246739417,0.304076999,0.210021317,0.323911369,0.341000944,0.343525171,0.035198405,0.260005593,0.218224391,-0.003128694,-0.019326966,0.00645837,-0.012121912,0.005175984,0.034452297,0.107672259,0.006225543,0.481543154,-0.027937552,-0.036803093,0.020913742,-0.000142776,0.217821777,0.007142284,0.564005077,0.007654134,0.719869733,-0.012920325,-0.01232191,0.075339347,0.660934627,0.00066778,0.616108537,Short,1,Low,1,2,False
19.13711,83.70065,36,Rice,-12.43887013,-12.11425269,-12.05790792,-14.71930033,-14.21856072,-10.27810508,-11.56937336,-9.5736809,-9.585212255,-7.906592301,-10.75015976,-11.26847034,-7.558660733,-10.73244703,-8.191033599,-16.12621653,-18.58772296,-16.19593373,-24.30900601,-17.66844241,-21.0944462,-16.42727844,-14.32490703,-18.00317513,-18.36256313,-17.80618083,-16.39759422,-17.80659429,-20.95459164,-21.07576903,0.179989949,0.231048808,0.28400436,0.351310849,0.063820794,0.284642309,0.277872652,0.249111906,0.259587675,0.204247341,0.208498716,0.146686524,0.018877266,0.059318975,-0.001148106,0.14835082,0.254004568,0.208962053,0.453429312,0.237683669,0.008439139,0.048647668,0.033210333,0.14116095,-0.011174231,0.019767256,0.504504502,0.465153962,0.010817573,0.268501192,0.216738537,0.203969136,0.122530699,-0.001998668,0.038165566,0.469107538,0.380149812,Short,1,Medium,2,1,False
19.13871,83.70778,36,Rice,-8.280650838,-14.28761799,-10.17444785,-16.08964657,-10.80360398,-9.447699487,-8.088962056,-8.984698781,-7.649751015,-8.438277983,-11.00300941,-9.128546156,-16.06723767,-10.43591232,-7.195232674,-17.09929788,-26.92022683,-18.82795582,-22.62945859,-20.5305308,-15.43796777,-17.67526114,-15.79548346,-18.18631675,-14.14470823,-12.65432016,-18.29787288,-17.03144059,-23.36535662,-20.73803119,0.142152026,0.177352637,0.189531684,0.201173961,0.056116357,0.204076305,0.227604166,0.220977589,0.262455046,0.215657666,0.208372533,0.130812854,0.030829739,-0.023775693,0.00069735,0.134597763,0.375628144,0.430457324,0.551011145,0.235772356,-0.00312378,0.001316482,0.031909142,0.130065098,-0.001651146,0.025719585,0.55496496,0.452724725,0.211870253,0.230176792,0.117382616,0.271970004,0.113675557,-0.004169148,0.039438698,0.443140417,0.297663391,Short,1,Medium,2,1,False
