Latitude,Longitude,DN,Crop_Name,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37,Height,height_numeric,Duration,duration_numeric,Predicted_height,Correct
19.04087,83.804,9,Maize,-11.64576418,-16.64330977,-13.62954249,-9.632810843,-14.4282434,-10.45229325,-10.68462682,-12.45337458,-8.686614201,-8.297901415,-8.309437354,-12.00389728,-8.454761267,-8.205930813,-9.97619938,-18.68332805,-20.32537813,-17.98082543,-16.95406304,-22.28426151,-16.34295719,-17.32866747,-18.4420823,-19.328834,-16.28834437,-17.15438598,-18.75102693,-15.68525235,-18.90646822,-16.02003039,0.150712833,0.173383832,0.211611032,0.222252235,0.116482802,0.22357294,0.247353762,0.245122567,0.289310038,0.18547681,0.107472934,0.128099173,0.047291633,0.136795446,0.002363296,0.095191777,0.384064883,0.07154122,0.477078885,0.089426041,0.321560264,-0.002327592,0.04673288,0.135058686,0.022819957,0.010642767,0.552555442,0.448984712,0.256368905,0.474999994,0.031133249,0.734197021,0.281601131,0.027229544,0.644798696,0.60490638,0.446098864,Medium,2,Medium,2,1,False
19.057,83.05313,36,Rice,-11.92939209,-7.018267323,-10.29503896,-5.157202656,-7.889402093,-11.41470509,-9.925312186,-6.990788944,-9.995622237,-8.670081584,-8.376301746,-9.376935361,-6.089986189,-10.31901117,-6.626111102,-16.14221426,-17.76239524,-14.78857342,-16.1599675,-15.73354069,-16.68322931,-14.59006415,-14.44661266,-14.62947855,-12.67987735,-16.62619123,-12.94700399,-15.57397718,-13.53042522,-16.64825048,0.244760215,0.235125452,0.089094795,0.275468916,0.300633967,0.379610986,0.29927963,0.50859952,0.458594292,0.519463062,0.027394742,0.070229955,0.32009396,0.015845241,-0.014379494,0.003388979,-0.012877759,0.362883598,0.238938048,-6.55e-05,-0.003090617,0.231240422,-0.032149356,-0.012106825,0.004516998,0.030121047,0.260236323,0.010571185,0.501982152,0.0,-0.009595016,0.004635639,-0.020307388,0.029066561,0.137858808,0.000895957,0.69987762,Short,1,Medium,2,2,False
19.0659,83.05949,15,Potato,-11.21632068,-6.418078453,-8.653363908,-7.817792276,-9.518971846,-8.858827646,-9.232023799,-6.952691685,-7.390624829,-7.081030582,-7.435847148,-7.529475358,-7.542356811,-6.386858533,-6.67790654,-15.7972261,-16.91418417,-17.85180715,-12.59208377,-16.42988989,-12.29623929,-12.3814165,-14.61299624,-17.15264207,-15.65024582,-12.54356339,-16.43690847,-11.97327676,-13.77759667,-15.65271057,0.188800603,0.220483646,0.036284469,0.277287185,0.303462327,0.388630003,0.231659055,0.451589584,0.439999998,0.467952341,0.030828344,0.203920096,0.37243402,0.013866232,-0.016892912,0.008706166,0.00265405,0.048552472,0.215591192,0.001072961,0.0266384,0.586516857,-0.025728125,-0.019656749,0.002378213,0.134753808,0.224142134,0.010786076,0.479101121,0.001944895,0.564260125,0.064469345,-0.014320555,0.057739284,0.439135373,0.004185034,-0.008073115,Short,1,Medium,2,2,False
19.11039,83.79178,36,Rice,-5.437643464,-11.40235804,-10.029122,-7.647202729,-8.446212687,-8.133744039,-11.88044999,-12.03527908,-6.383164177,-9.195419564,-8.130543642,-8.206579939,-7.622764118,-11.16919111,-7.632853775,-12.07279596,-14.53521783,-18.47186105,-17.21863005,-16.35697194,-15.05370091,-15.26753538,-15.58759005,-11.80673063,-16.05425972,-17.25947547,-11.81583323,-19.07438714,-23.19528588,-17.18163539,0.218029886,0.295826733,0.347109735,0.407901764,0.203864351,0.367121845,0.35712412,0.360019535,0.454792291,0.250529885,0.127643511,0.189846858,0.017329717,0.393491119,-0.005287325,0.086874291,0.432065219,0.025507998,0.55544281,0.240397736,0.023168908,-0.011581469,0.023464123,0.142736837,0.013940357,0.008718517,0.527172565,0.433792233,0.161223963,0.165521979,0.070060775,-0.039621018,0.15522556,0.014704817,0.347434551,0.400677979,0.158673346,Short,1,Medium,2,3,False
19.11252,83.79156,36,Rice,-9.177741613,-16.00335557,-12.09966207,-13.35707656,-12.27753919,-8.357758016,-11.20871936,-11.593154,-10.28164836,-10.66189147,-10.52345117,-9.076692763,-12.15077843,-8.606885356,-8.884543371,-16.4379289,-19.49905831,-17.211906,-21.90579474,-14.84730663,-17.38226545,-16.34968543,-14.93705904,-19.44247274,-17.71063685,-14.58463477,-17.15684804,-19.87527648,-18.00966737,-18.05376182,0.125288233,0.165346012,0.173666283,0.178658038,0.148841888,0.20568122,0.217722207,0.168835565,0.281855375,0.291277617,0.135631248,0.168491989,0.014504697,0.121375419,-0.009510682,0.081688389,0.397624046,0.035504725,0.535939455,0.25609991,0.052595705,-0.030883191,0.017427884,0.145454541,0.006778512,0.011085547,0.542926848,0.411853343,0.167905658,0.247933879,0.068811245,0.356074512,0.150401518,0.011230974,0.502985358,0.614406765,0.100524381,Short,1,Medium,2,2,False
19.12315,83.37972,15,Potato,-6.476274169,-8.83993185,-7.629707917,-8.194239189,-9.38092347,-4.600313966,-5.115157708,-3.936172742,-5.592112777,-7.617384635,-6.373074005,-4.317583238,-7.485069764,-7.153674469,-6.844515646,-14.52903112,-15.79036465,-14.51525526,-14.44947234,-16.08719044,-14.02499413,-13.35585254,-11.58958547,-10.33319853,-13.16022708,-12.15008321,-14.88444585,-16.51712888,-16.36689044,-13.53510922,0.286496997,0.29519546,0.150798053,0.381291896,0.240562707,0.420014918,0.470328182,0.554719388,0.629414022,0.591616631,0.304395258,0.13883391,0.282203943,0.31703943,-0.013961944,0.03958815,0.076663621,0.492695153,0.303004593,0.187768415,0.206886292,0.320763558,0.017249385,0.068133697,0.005392696,0.301354051,0.241015777,0.121710904,0.344316036,0.262654662,0.292019427,0.289959371,0.020389462,0.063740008,0.548059523,0.290759891,0.413175583,Short,1,Medium,2,3,False
19.12327,83.38083,15,Potato,-13.97439858,-12.52415094,-8.947659774,-10.7576687,-11.56590969,-9.541478709,-7.75069433,-6.22106315,-6.167144184,-7.891333096,-12.10405607,-5.116585672,-5.945482489,-11.19275329,-11.72529926,-19.12354613,-18.91874444,-20.43656757,-20.6232671,-18.49117316,-16.46256043,-15.37631416,-14.52130918,-15.23604087,-11.07978946,-15.94062094,-11.28050636,-13.07087812,-19.42220491,-18.87178245,0.159597516,0.160318077,0.068448246,0.205791041,0.176914811,0.3020688,0.333262056,0.454602361,0.511366367,0.440528363,0.235392243,0.120749816,0.227749243,0.245088622,0.004946858,0.03749501,0.078208655,0.364737809,0.182966083,0.177533478,0.176461607,0.20542185,0.018273054,0.067603275,0.010554786,0.252571046,0.226427078,0.05539244,0.392548978,0.290193528,0.245112523,0.116442159,0.021321524,0.07599739,0.348713428,0.219691262,0.352549732,Short,1,Medium,2,2,False
19.12347,83.38089,5,Green pea,-11.72803061,-16.81860716,-13.55789866,-15.14569833,-14.22645152,-11.50633513,-5.487440593,-4.097801457,-5.40286412,-9.891587204,-14.16058778,-6.517111178,-6.716090042,-15.39358695,-6.82460634,-22.68503877,-20.03609232,-19.88094789,-19.1784258,-21.36547304,-15.752282,-16.87268533,-13.34125047,-14.56146629,-16.70844793,-12.80035145,-17.48597535,-18.11734989,-17.71211307,-18.93339771,0.161242977,0.17187731,0.098035783,0.205109552,0.181203693,0.322705895,0.325960219,0.489662141,0.525933623,0.431252152,0.226320177,0.119847402,0.190410584,0.204177335,0.010514113,0.039451074,0.076805271,0.378051847,0.231657431,0.17506893,0.183461174,0.238130391,0.011303897,0.064621925,0.01160258,0.243148983,0.216091394,0.060080886,0.355827779,0.292202592,0.251700014,0.092158176,0.020087741,0.072840787,0.357294232,0.224097863,0.36488533,Short,1,Medium,2,2,False
19.12352,83.37979,8,Garlic,-12.44663292,-12.19934698,-8.77855948,-10.52290695,-11.11777618,-11.476151,-12.79636721,-7.072364886,-4.473809926,-10.346013,-8.254625873,-8.038126325,-8.639452959,-8.998714772,-7.643855362,-17.97193773,-19.06651211,-17.90593695,-19.15646492,-18.98599219,-17.80451127,-14.92739415,-13.63164167,-11.60450969,-15.4736395,-12.06622639,-11.64649309,-20.14015803,-17.66634377,-16.42152505,0.256909639,0.221771106,0.140927449,0.322057992,0.247048482,0.381159782,0.443370849,0.557471573,0.628312588,0.524276793,0.266758353,0.128141508,0.287092209,0.280354917,-0.010937919,0.038577233,0.081100538,0.353901625,0.24706389,0.164604321,0.19178696,0.186563775,0.004306179,0.065896817,0.006543119,0.253066331,0.236455068,0.077275842,0.36257571,0.297564179,0.317132652,0.318649173,0.017828759,0.075764358,0.552878678,0.311592251,0.370082617,Short,1,Medium,2,2,False
19.13283,83.09904,5,Green pea,-6.774964976,-12.32172287,-12.88652773,-6.391998639,-9.958115213,-12.74026706,-9.519523372,-4.950597584,-7.910621692,-7.144833577,-7.580292162,-7.884558856,-7.01672536,-8.385078646,-7.976766245,-14.70927448,-16.96884978,-20.1866893,-19.68080461,-18.52562151,-18.49392991,-21.29244744,-15.92048989,-15.20582254,-14.0569825,-13.96349048,-13.79414801,-16.98215528,-17.92959868,-12.84762888,0.189610392,0.121076234,0.05863975,0.15497835,0.196428567,0.146999136,0.220648974,0.15077424,0.190997571,0.168667465,0.031919327,0.165940136,0.090096131,-0.001034279,-0.021922613,0.006800328,-0.0219761,0.072902337,0.005608525,0.153910145,-0.006005794,0.250235468,-0.02387381,-0.035044827,0.003573608,0.020913236,0.136446893,0.004630006,0.465521246,0.011545293,0.674132168,0.001544269,-0.013478453,0.065657802,0.385829657,0.001963975,0.497669607,Short,1,Medium,2,2,False
