Latitude,Longitude,Crop_Name,VV_0,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VH_0,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14
12.661055,77.70231,Eucalyptus,-13.00923255,-9.726954529,-11.12121974,-8.571753401,-15.56762806,-10.60549683,-9.998694831,-13.96993906,-16.3014943,-10.00083549,-7.569958337,-12.76345507,-5.897988344,-12.35454837,-9.835781714,-12.96136833,-14.1328176,-15.77797905,-13.80213869,-21.8929857,-19.21365936,-20.16464266,-21.35043881,-20.16064938,-18.50109264,-16.2002631,-15.29807016,-14.35112878,-15.34210008,-12.4605264
12.6610583,77.7023167,Eucalyptus,-13.00923255,-9.726954529,-11.12121974,-9.160176131,-12.8163167,-10.60549683,-9.998694831,-13.96993906,-16.3014943,-11.15894678,-7.569958337,-12.76345507,-5.897988344,-12.35454837,-9.835781714,-12.96136833,-14.1328176,-15.77797905,-12.2505492,-18.11878117,-19.21365936,-20.16464266,-21.35043881,-20.16064938,-17.64814861,-16.2002631,-15.29807016,-14.35112878,-15.34210008,-12.4605264
12.6610595,77.702324,Eucalyptus,-13.00923255,-9.726954529,-11.12121974,-9.160176131,-12.8163167,-10.60549683,-9.998694831,-13.96993906,-16.3014943,-11.15894678,-9.114612722,-12.76345507,-8.379443007,-12.35454837,-9.835781714,-12.96136833,-14.1328176,-15.77797905,-12.2505492,-18.11878117,-19.21365936,-20.16464266,-21.35043881,-20.16064938,-17.64814861,-18.45838368,-15.29807016,-12.21938965,-15.34210008,-12.4605264
12.6610635,77.7023284,Eucalyptus,-14.71600006,-9.726954529,-11.12121974,-9.160176131,-13.51196583,-10.60549683,-9.998694831,-13.96993906,-16.3014943,-11.15894678,-9.114612722,-12.76345507,-8.379443007,-10.81018344,-9.835781714,-12.50034353,-14.1328176,-15.77797905,-12.2505492,-18.32439359,-19.21365936,-20.16464266,-21.35043881,-20.16064938,-17.64814861,-18.45838368,-15.29807016,-12.21938965,-15.58180827,-12.4605264
12.6610683,77.7023267,Eucalyptus,-13.00923255,-9.726954529,-11.12121974,-9.160176131,-12.8163167,-10.60549683,-9.998694831,-13.96993906,-16.3014943,-11.15894678,-9.114612722,-12.76345507,-8.379443007,-10.81018344,-9.835781714,-12.96136833,-14.1328176,-15.77797905,-12.2505492,-18.11878117,-19.21365936,-20.16464266,-21.35043881,-20.16064938,-17.64814861,-18.45838368,-15.29807016,-12.21938965,-15.58180827,-12.4605264
12.6613402,77.7034599,Ragi,-12.78032523,-14.267995,-9.431449931,-7.955155519,-11.99244648,-8.991501031,-12.69575203,-10.34466903,-9.867850166,-5.660622633,-9.044744243,-8.714137686,-8.469950822,-13.07450602,-8.727558346,-21.9373457,-17.14155366,-15.55297099,-16.86921415,-18.47797483,-14.57722418,-15.4822122,-16.52495536,-20.23802955,-20.95371998,-18.33261766,-20.21024491,-17.28385347,-14.71661112,-15.55516835
12.6614267,77.7030067,Maize,-13.01958086,-19.41190694,-13.8158733,-10.35020977,-10.52937989,-5.394124002,-5.90395361,-7.939073116,-8.640684131,-6.645948326,-8.633633043,-7.965573517,-6.168829152,-9.395307963,-5.79624748,-28.39159667,-20.53093208,-20.19469379,-16.76417944,-19.32698277,-18.13734262,-17.94914695,-18.6940109,-21.18754579,-16.6229167,-16.89367338,-19.99416229,-16.34085133,-18.1384393,-16.12794519
12.6619435,77.7031206,Ragi,-8.401573162,-11.50441173,-10.327334,-9.255182417,-11.87278059,-9.032281883,-5.192906954,-11.74514734,-9.919529617,-4.996935914,-10.79526599,-8.385892559,-5.829075542,-7.650719206,-4.647733991,-21.04851804,-21.67665841,-20.57826815,-21.19292666,-17.15509054,-16.77151352,-15.06103965,-17.60155697,-17.88235873,-14.70919266,-15.04283921,-18.80616347,-19.11812385,-19.89694841,-14.04133261
12.6619635,77.7031145,Ragi,-8.401573162,-11.50441173,-10.327334,-9.255182417,-9.617554912,-9.032281883,-5.192906954,-11.73415252,-9.919529617,-4.996935914,-10.79526599,-8.385892559,-5.829075542,-7.181358927,-4.647733991,-21.04851804,-21.67665841,-20.57826815,-21.19292666,-17.52833638,-16.77151352,-15.06103965,-16.66133338,-17.88235873,-14.70919266,-15.04283921,-18.80616347,-19.11812385,-20.5782492,-14.04133261
12.6620633,77.704915,Maize,-13.93605997,-8.194552619,-13.03533179,-9.326934963,-11.63470852,-10.62846946,-10.86272839,-10.53197806,-8.554481777,-9.289932908,-13.02220335,-12.2105667,-7.245019861,-10.72682452,-7.596432408,-17.48284644,-16.07564721,-23.09616785,-14.69005692,-17.64384539,-17.18529621,-25.31023443,-21.93392112,-15.11086886,-17.73399224,-18.14855508,-17.38347826,-12.28046351,-15.63158611,-16.45998547
12.6621003,77.7024437,Eucalyptus,-16.24513406,-10.41018109,-9.294138084,-12.26637843,-11.42893769,-9.902599084,-8.548138456,-9.439917505,-12.73148108,-9.349864441,-12.69147137,-9.139576753,-13.43759575,-10.94027138,-7.328812655,-17.92950427,-14.56458266,-14.94858697,-16.12089824,-13.38373407,-19.96895272,-16.44913014,-18.44699209,-16.67328351,-16.92212067,-13.30635895,-16.33154886,-15.8006409,-14.87031051,-16.25575268
12.6621085,77.7052614,Ragi,-10.15265472,-7.715151525,-7.715267012,-8.042815314,-6.931758396,-7.076338065,-7.767062173,-9.363671967,-9.078533535,-6.332146201,-8.191569549,-9.206459014,-3.988191052,-9.998565119,-6.258466678,-20.46839055,-18.83391949,-22.9361489,-15.61711915,-15.24026155,-17.15627726,-22.12034358,-17.5496694,-16.53102947,-14.5430631,-17.08583883,-14.88671865,-14.66677462,-9.865899545,-13.56154177
12.6621183,77.7052506,Ragi,-10.15265472,-9.835158,-7.715267012,-8.042815314,-6.851809429,-7.897897756,-7.1582485,-8.713574598,-9.078533535,-6.332146201,-8.191569549,-9.206459014,-3.988191052,-6.440432857,-5.382229628,-20.46839055,-17.35302909,-22.9361489,-15.61711915,-17.34571805,-17.35667757,-21.35264732,-20.01586519,-16.53102947,-14.5430631,-17.08583883,-14.88671865,-14.66677462,-10.57776747,-12.47398943
12.6621267,77.702465,Eucalyptus,-17.04986545,-9.681228843,-9.294138084,-12.26637843,-11.42893769,-9.902599084,-8.548138456,-9.439917505,-12.73148108,-9.349864441,-13.51653543,-9.636713121,-13.43759575,-10.94027138,-7.328812655,-21.15847821,-14.79237315,-14.94858697,-16.12089824,-13.38373407,-19.96895272,-16.44913014,-18.44699209,-16.67328351,-16.92212067,-15.29448632,-16.40104748,-15.8006409,-14.87031051,-16.25575268
12.662148,77.70491,Maize,-15.07147084,-11.24392222,-10.53920194,-9.326934963,-14.11014382,-12.44018576,-10.33272165,-12.58129839,-9.235984909,-8.748443867,-14.48466264,-9.010508772,-8.440106774,-9.353743826,-8.371523389,-20.55460479,-16.29981422,-18.63008907,-14.69005692,-21.10256693,-17.84797209,-22.24789626,-20.01274821,-16.49833368,-14.27978659,-21.41717601,-16.57833904,-13.09608675,-16.45152643,-18.0636704
12.6621833,77.70235,Maize,-12.58527019,-9.887262835,-9.944932561,-8.737563661,-11.91773574,-7.109431687,-8.583307029,-8.007196607,-10.62556067,-6.896752186,-12.68701771,-8.496917767,-11.60609481,-9.223515959,-4.428487129,-19.45163165,-14.88084249,-16.42958911,-14.94281539,-17.96339513,-17.82764399,-15.09603821,-11.9790829,-14.32856861,-15.32347254,-14.6123556,-16.76654515,-17.44460691,-14.92191948,-13.76468103
12.66219667,77.70232667,Maize,-8.245421836,-9.887262835,-9.944932561,-8.737563661,-11.08909671,-6.095443516,-8.583307029,-8.007196607,-8.650568855,-6.896752186,-11.87591281,-9.225382681,-8.27089302,-9.223515959,-4.428487129,-18.96103712,-14.88084249,-16.42958911,-14.94281539,-21.65835179,-16.43015905,-15.09603821,-11.9790829,-12.94806284,-15.32347254,-14.93254225,-16.70307933,-18.61067996,-14.92191948,-13.76468103
12.662389,77.7032304,Ragi,-9.379272532,-7.919189067,-8.802820335,-6.030341106,-11.30081397,-8.660671044,-9.447305156,-12.27229374,-7.561280483,-7.101260932,-10.11966446,-8.48595854,-8.686746681,-7.794050852,-8.026872738,-22.51883065,-17.74121721,-16.63142645,-13.95822781,-17.24500064,-15.51112143,-15.55374681,-15.15959836,-14.14375205,-15.82058553,-19.82236275,-15.33244257,-14.05806721,-13.80892434,-11.40524686
12.6624125,77.703196,Ragi,-9.379272532,-7.919189067,-7.831003168,-6.030341106,-10.29575036,-8.660671044,-10.03595186,-10.17367218,-7.561280483,-7.386455003,-10.11966446,-8.48595854,-8.686746681,-5.326145969,-8.026872738,-22.51883065,-17.74121721,-18.56366204,-13.95822781,-16.42248472,-15.51112143,-18.81396495,-15.30950915,-14.14375205,-17.18656782,-19.82236275,-15.33244257,-14.05806721,-15.06262116,-11.40524686
12.6626067,77.70361,Maize,-11.47725526,-7.914506689,-8.757861023,-13.9446674,-8.999802314,-8.614140511,-11.13299215,-9.770977955,-10.74089773,-7.121581959,-6.249926741,-10.20081038,-7.723160274,-11.20754499,-12.09024803,-17.84888346,-20.84559632,-16.73454947,-16.60354806,-15.84205199,-16.96083313,-14.51008902,-14.3224709,-15.42220802,-18.5303421,-19.11232883,-18.65702063,-16.48580008,-13.61281599,-15.25626135
12.6626186,77.7035782,Maize,-11.47725526,-9.391987328,-9.040613562,-12.04392596,-8.999802314,-10.971947,-11.4621908,-10.76959232,-13.07895803,-7.121581959,-6.249926741,-10.20081038,-8.148907538,-11.09234782,-14.29358214,-17.84888346,-20.77002762,-16.91621107,-19.78521935,-15.84205199,-18.32981354,-17.01213032,-13.07753913,-14.36006965,-18.5303421,-19.11232883,-18.65702063,-18.03116432,-16.31233935,-15.24456482
12.662686,77.7036333,Eucalyptus,-13.22787658,-8.585450244,-11.762627,-9.335388974,-11.6053956,-8.351029555,-11.51241298,-12.41254949,-13.07895803,-9.255690262,-8.931438613,-12.81615301,-8.204079452,-8.68519256,-11.71272555,-15.36307472,-18.7220325,-13.77954809,-17.24369038,-19.87558148,-22.0276973,-15.79163404,-15.96671286,-14.36006965,-14.65001402,-21.52836681,-17.96053548,-16.25040379,-12.81692758,-15.74931353
12.662705,77.7036133,Eucalyptus,-14.33954423,-8.585450244,-11.762627,-9.806529206,-11.66429325,-8.351029555,-11.51241298,-12.41254949,-11.25059537,-10.16168703,-10.09366382,-12.81615301,-9.642689049,-8.68519256,-11.71272555,-15.31656324,-18.7220325,-13.77954809,-18.78260715,-20.68266391,-22.0276973,-15.79163404,-15.96671286,-15.08547017,-17.27835547,-24.1583769,-17.96053548,-16.89027315,-12.81692758,-15.74931353
12.6631987,77.7056218,Eucalyptus,-16.13497337,-11.91358424,-10.41268256,-10.90749343,-10.46082428,-10.78298888,-12.10310518,-13.68278201,-10.16863995,-9.150799623,-9.768650646,-11.83451002,-11.10675665,-12.61091447,-7.005360717,-16.95727153,-17.77465807,-17.6673341,-14.07476607,-17.69111549,-19.43738509,-15.69582332,-20.0959432,-18.76604378,-15.16487606,-18.56789916,-15.92095283,-13.85207125,-19.62633281,-13.609247
12.6632,77.705635,Eucalyptus,-16.13497337,-11.91358424,-10.41268256,-10.90749343,-10.46082428,-11.08484184,-12.10310518,-12.34432833,-10.16863995,-9.150799623,-9.768650646,-11.83451002,-11.10675665,-12.61091447,-7.724179076,-16.95727153,-17.77465807,-17.6673341,-14.07476607,-17.69111549,-19.34655184,-15.69582332,-17.04320053,-18.76604378,-15.16487606,-18.56789916,-15.92095283,-13.85207125,-19.62633281,-13.57762318
12.6633028,77.70373,Ragi,-14.86365569,-11.05266664,-12.66504538,-13.0637441,-13.76708191,-11.58716876,-11.85604035,-10.52826556,-9.373575797,-10.25812337,-11.47275723,-13.08849511,-12.36735511,-13.81532878,-11.65475311,-21.99418192,-17.67813561,-17.03596978,-17.35892414,-18.16191018,-18.59731924,-14.31241816,-13.99084106,-14.34000742,-16.55158766,-17.56604408,-21.52316496,-16.15808944,-18.89970872,-15.08438969
12.663305,77.7037317,Ragi,-14.86365569,-11.05266664,-12.66504538,-13.0637441,-9.796719682,-11.58716876,-11.85604035,-10.52826556,-9.373575797,-10.25812337,-11.47275723,-13.08849511,-12.36735511,-13.81532878,-11.65475311,-21.99418192,-17.67813561,-17.03596978,-17.35892414,-17.29120148,-18.59731924,-14.31241816,-13.99084106,-14.34000742,-16.55158766,-17.56604408,-21.52316496,-16.15808944,-18.89970872,-15.08438969
12.6633121,77.7037709,Ragi,-11.60652901,-11.05266664,-13.92598229,-13.0637441,-9.796719682,-11.58716876,-11.85604035,-10.52826556,-12.14937828,-10.25812337,-11.47275723,-14.07588707,-12.36735511,-11.15328419,-11.65475311,-16.50502211,-17.67813561,-18.35938671,-17.35892414,-17.29120148,-18.59731924,-14.31241816,-13.99084106,-13.34757868,-16.55158766,-17.56604408,-18.65242404,-16.15808944,-18.84284829,-15.08438969
12.6633167,77.703765,Ragi,-11.60652901,-11.05266664,-12.4007134,-13.0637441,-9.796719682,-11.58716876,-11.85604035,-10.52826556,-12.14937828,-10.25812337,-11.47275723,-14.07588707,-12.36735511,-11.15328419,-11.43799891,-16.50502211,-17.67813561,-16.02319893,-17.35892414,-17.29120148,-18.59731924,-14.31241816,-13.99084106,-13.34757868,-16.55158766,-17.56604408,-18.65242404,-16.15808944,-18.84284829,-14.831605
12.6633251,77.7037905,Ragi,-11.60652901,-11.05266664,-12.20989737,-13.0637441,-9.796719682,-11.58716876,-11.85604035,-7.694522999,-12.14937828,-10.25812337,-11.47275723,-14.07588707,-12.36735511,-9.651668386,-11.43799891,-16.50502211,-17.67813561,-15.75468636,-17.35892414,-17.29120148,-18.59731924,-14.31241816,-12.18774544,-13.34757868,-16.55158766,-17.56604408,-18.65242404,-16.15808944,-17.10989788,-14.831605
12.6633292,77.7037741,Ragi,-11.60652901,-11.05266664,-12.20989737,-13.0637441,-9.796719682,-11.58716876,-11.85604035,-10.52826556,-12.14937828,-10.25812337,-11.47275723,-14.07588707,-9.229955031,-9.651668386,-11.43799891,-16.50502211,-17.67813561,-15.75468636,-17.35892414,-17.29120148,-18.59731924,-14.31241816,-13.99084106,-13.34757868,-16.55158766,-17.56604408,-18.65242404,-16.17745711,-17.10989788,-14.831605
12.6634567,77.7025167,Maize,0.376146543,-3.932310799,-5.270330844,-1.825960404,-0.521784941,-5.210010127,-6.106011543,-6.267764325,-1.422040513,-0.906050991,0.683946533,-2.669387822,-4.082779386,-4.144880166,-3.822251417,-12.4243478,-19.61582198,-16.21740852,-17.45106936,-17.32629532,-19.61321712,-20.17067775,-19.44706028,-17.22458442,-13.20776308,-12.46825578,-14.90480642,-13.69851609,-12.88527438,-14.62303329
12.66347,77.702475,Maize,-0.757598664,2.218703897,4.029260312,-1.825960404,-0.521784941,2.756906187,2.155506818,2.536567383,-1.422040513,-0.906050991,0.683946533,-2.669387822,-4.082779386,5.012469503,0.989750619,-13.43674397,-12.46117306,-13.25225818,-17.45106936,-17.32629532,-14.6731637,-14.8230818,-12.94127758,-17.22458442,-13.20776308,-12.46825578,-14.90480642,-13.69851609,-10.50143126,-13.78694697
12.66356,77.7062767,Eucalyptus,-10.11772176,-11.27598867,-14.8109202,-8.034910801,-11.31263145,-14.97044468,-12.42372951,-11.62736466,-11.93043111,-11.76488978,-11.5884201,-11.86616387,-11.25961945,-7.43996814,-6.966584281,-14.15676128,-17.34279954,-17.1916444,-17.99812749,-17.66660752,-20.76878135,-15.63460869,-24.77277377,-16.14488051,-17.854756,-13.54275241,-14.98335145,-13.88209654,-12.95048578,-13.05963621
12.6635718,77.7062842,Eucalyptus,-10.11772176,-11.27598867,-14.8109202,-8.034910801,-11.31263145,-14.03739,-12.42372951,-11.62736466,-11.93043111,-11.76488978,-11.5884201,-11.86616387,-11.25961945,-7.43996814,-7.558751844,-14.15676128,-17.34279954,-17.1916444,-17.99812749,-17.66660752,-16.98865714,-15.63460869,-24.77277377,-16.14488051,-17.854756,-13.54275241,-14.98335145,-13.88209654,-12.95048578,-13.48988599
12.6635769,77.7062866,Eucalyptus,-10.11772176,-11.27598867,-14.8109202,-8.034910801,-11.31263145,-14.03739,-12.42372951,-11.62736466,-11.93043111,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.558751844,-14.15676128,-17.34279954,-17.1916444,-17.99812749,-17.66660752,-16.98865714,-15.63460869,-24.77277377,-16.14488051,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-13.48988599
12.6635824,77.7062805,Eucalyptus,-10.11772176,-11.27598867,-14.8109202,-6.835150491,-11.31263145,-14.97044468,-12.42372951,-11.62736466,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.558751844,-14.15676128,-17.34279954,-17.1916444,-16.91432687,-17.66660752,-20.76878135,-15.63460869,-24.77277377,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-13.48988599
12.6635844,77.7062853,Eucalyptus,-10.11772176,-11.27598867,-14.8109202,-6.835150491,-11.31263145,-14.03739,-12.42372951,-11.62736466,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.558751844,-14.15676128,-17.34279954,-17.1916444,-16.91432687,-17.66660752,-16.98865714,-15.63460869,-24.77277377,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-13.48988599
12.6635859,77.7062905,Eucalyptus,-10.11772176,-11.4877395,-14.8109202,-6.835150491,-11.31263145,-14.03739,-12.57883437,-11.62736466,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.558751844,-14.15676128,-17.19065174,-17.1916444,-16.91432687,-17.66660752,-16.98865714,-13.70867519,-24.77277377,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-13.48988599
12.6635884,77.7062955,Eucalyptus,-10.11772176,-11.4877395,-14.8109202,-6.358335512,-11.31263145,-14.03739,-12.57883437,-11.62736466,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.558751844,-14.15676128,-17.19065174,-17.1916444,-16.81875298,-17.66660752,-16.98865714,-13.70867519,-24.77277377,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-13.48988599
12.6635886,77.7063131,Eucalyptus,-11.45885726,-11.4877395,-14.8109202,-6.358335512,-11.25564445,-14.03739,-12.57883437,-11.62736466,-12.08693831,-9.90448143,-12.16374175,-11.86616387,-11.4616607,-7.43996814,-7.558751844,-15.05060267,-17.19065174,-17.1916444,-16.81875298,-19.22788759,-16.98865714,-13.70867519,-24.77277377,-14.85159072,-16.80756832,-13.46050488,-14.98335145,-12.387759,-12.95048578,-13.48988599
12.6635933,77.7062517,Eucalyptus,-10.11772176,-11.27598867,-12.3187138,-6.835150491,-11.31263145,-14.97044468,-12.42372951,-11.07582597,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.504231928,-7.977944225,-14.15676128,-17.34279954,-18.12801557,-16.91432687,-17.66660752,-20.76878135,-15.63460869,-22.07855518,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-13.67984361,-12.90458604
12.6635953,77.7062497,Eucalyptus,-10.11772176,-11.27598867,-12.3187138,-6.835150491,-11.31263145,-13.24733625,-12.42372951,-11.07582597,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.504231928,-7.977944225,-14.15676128,-17.34279954,-18.12801557,-16.91432687,-17.66660752,-18.73713676,-15.63460869,-22.07855518,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-13.67984361,-12.90458604
12.6635961,77.7062907,Eucalyptus,-10.11772176,-11.4877395,-14.8109202,-6.835150491,-11.31263145,-16.50310052,-12.57883437,-11.62736466,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.558751844,-14.15676128,-17.19065174,-17.1916444,-16.91432687,-17.66660752,-17.8479164,-13.70867519,-24.77277377,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-13.48988599
12.6635975,77.706283,Eucalyptus,-10.11772176,-11.27598867,-14.8109202,-6.835150491,-11.31263145,-16.50310052,-12.42372951,-11.62736466,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.558751844,-14.15676128,-17.34279954,-17.1916444,-16.91432687,-17.66660752,-17.8479164,-15.63460869,-24.77277377,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-13.48988599
12.6635975,77.7062958,Eucalyptus,-10.11772176,-11.4877395,-14.8109202,-6.358335512,-11.31263145,-16.50310052,-12.57883437,-11.62736466,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.558751844,-14.15676128,-17.19065174,-17.1916444,-16.81875298,-17.66660752,-17.8479164,-13.70867519,-24.77277377,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-13.48988599
12.6635989,77.7062796,Eucalyptus,-10.11772176,-11.27598867,-14.8109202,-6.835150491,-11.31263145,-13.24733625,-12.42372951,-11.62736466,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.558751844,-14.15676128,-17.34279954,-17.1916444,-16.91432687,-17.66660752,-18.73713676,-15.63460869,-24.77277377,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-13.48988599
12.663603,77.7062719,Eucalyptus,-10.11772176,-11.27598867,-14.8109202,-6.835150491,-11.31263145,-13.24733625,-12.42372951,-11.07582597,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.977944225,-14.15676128,-17.34279954,-17.1916444,-16.91432687,-17.66660752,-18.73713676,-15.63460869,-22.07855518,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-12.90458604
12.6636068,77.7063053,Eucalyptus,-10.74605935,-11.4877395,-14.8109202,-6.358335512,-11.31263145,-16.50310052,-12.57883437,-11.62736466,-12.08693831,-9.90448143,-12.16374175,-11.86616387,-11.4616607,-7.43996814,-7.558751844,-14.36719369,-17.19065174,-17.1916444,-16.81875298,-17.66660752,-17.8479164,-13.70867519,-24.77277377,-14.85159072,-16.80756832,-13.46050488,-14.98335145,-12.387759,-12.95048578,-13.48988599
12.6636103,77.7062683,Eucalyptus,-10.74605935,-11.27598867,-14.8109202,-6.835150491,-11.31263145,-13.24733625,-12.42372951,-11.07582597,-12.08693831,-11.76488978,-11.5884201,-11.86616387,-9.651674956,-7.43996814,-7.977944225,-14.36719369,-17.34279954,-17.1916444,-16.91432687,-17.66660752,-18.73713676,-15.63460869,-22.07855518,-14.85159072,-17.854756,-13.54275241,-14.98335145,-14.82528831,-12.95048578,-12.90458604
12.6636227,77.7062936,Eucalyptus,-10.74605935,-12.15056181,-14.8109202,-6.835150491,-11.31263145,-16.50310052,-12.57883437,-11.62736466,-12.08693831,-11.76488978,-10.45792241,-12.53340184,-9.651674956,-7.43996814,-7.558751844,-14.36719369,-15.58253924,-17.1916444,-16.91432687,-17.66660752,-17.8479164,-13.70867519,-24.77277377,-14.85159072,-17.854756,-15.05632295,-13.46992016,-14.82528831,-12.95048578,-13.48988599
12.6636267,77.7063183,Eucalyptus,-11.25626407,-12.15056181,-14.8109202,-6.358335512,-11.25564445,-16.50310052,-12.63465195,-11.62736466,-11.48278762,-9.109460536,-12.79865857,-11.21616441,-11.4616607,-7.43996814,-7.558751844,-15.1891173,-15.58253924,-17.1916444,-16.81875298,-19.22788759,-17.8479164,-14.66962896,-24.77277377,-15.58416161,-17.43413319,-14.91850834,-12.62216669,-12.387759,-12.95048578,-13.48988599
12.6636333,77.7062902,Eucalyptus,-10.74605935,-12.15056181,-14.8109202,-6.835150491,-11.31263145,-16.50310052,-12.63465195,-11.62736466,-12.08693831,-9.587381199,-10.45792241,-12.53340184,-9.651674956,-7.43996814,-7.558751844,-14.36719369,-15.58253924,-17.1916444,-16.91432687,-17.66660752,-17.8479164,-14.66962896,-24.77277377,-14.85159072,-19.60154181,-15.05632295,-13.46992016,-14.82528831,-12.95048578,-13.48988599
12.6636385,77.7062962,Eucalyptus,-10.74605935,-12.15056181,-14.8109202,-6.358335512,-11.66908117,-16.50310052,-12.63465195,-11.04296554,-12.08693831,-9.587381199,-10.45792241,-12.53340184,-9.651674956,-7.43996814,-7.558751844,-14.36719369,-15.58253924,-17.1916444,-16.81875298,-15.18022912,-17.8479164,-14.66962896,-18.17712143,-14.85159072,-19.60154181,-15.05632295,-13.46992016,-14.82528831,-12.95048578,-13.48988599
12.6636494,77.7029506,Ragi,-9.250662137,-11.60227136,-11.02463171,-8.717578919,-12.19686203,-10.16161785,-9.222294107,-9.119264299,-12.04172974,-6.777612432,-7.774564446,-9.067593527,-10.52773682,-8.983222753,-6.049301127,-19.89186912,-18.94227553,-15.95957378,-20.21455901,-16.11879737,-16.6108762,-18.87876915,-18.19387946,-16.36816129,-14.11617787,-17.46717646,-22.84383795,-17.87810652,-20.66809983,-13.99337721
12.6636537,77.7062031,Eucalyptus,-9.667325659,-11.63465901,-11.14580789,-9.482549897,-11.19000959,-13.24733625,-13.38991229,-12.04665769,-11.03987657,-8.835319703,-9.211385461,-12.96584321,-9.403599804,-8.906497902,-9.104806541,-17.10706832,-15.54158731,-18.25357137,-16.91418695,-15.74881867,-18.73713676,-16.36217899,-16.8772777,-15.81658724,-17.59511327,-16.50693116,-14.60751617,-13.93284834,-16.86700379,-11.76160552
