date,VV,VH,Orbit,Crop_Name,latitude,longitude
2021-04-07,-7.925518638693088,-17.322374884650273,DESCENDING,Ragi,12.7416126,77.5814512
2021-04-19,-11.727064423761767,-14.261733918094725,DESCENDING,Ragi,12.7416126,77.5814512
2021-05-01,-12.410880843317141,-16.746928330203588,DESCENDING,Ragi,12.7416126,77.5814512
2021-05-13,-7.83559003954019,-10.843556463995757,DESCENDING,Ragi,12.7416126,77.5814512
2021-05-25,-9.194763341240778,-18.478903391851105,DESCENDING,Ragi,12.7416126,77.5814512
2021-06-06,-6.837509961005055,-14.71587450197027,DESCENDING,Ragi,12.7416126,77.5814512
2021-06-18,-12.725113527957879,-14.483051284447102,DESCENDING,Ragi,12.7416126,77.5814512
2021-06-30,-6.282289130626392,-18.25782427716987,DESCENDING,Ragi,12.7416126,77.5814512
2021-07-12,-7.542887125113755,-16.03141292443556,DESCENDING,Ragi,12.7416126,77.5814512
2021-07-24,-7.8923220221307755,-15.342773794051078,DESCENDING,Ragi,12.7416126,77.5814512
2021-08-05,-9.666408930589549,-17.260365173653266,DESCENDING,Ragi,12.7416126,77.5814512
2021-08-17,-8.94467237161737,-17.652292600438987,DESCENDING,Ragi,12.7416126,77.5814512
2021-08-29,-7.110890801324029,-17.072367359284417,DESCENDING,Ragi,12.7416126,77.5814512
2021-09-10,-8.030727885224799,-13.777282782631929,DESCENDING,Ragi,12.7416126,77.5814512
2021-09-22,-9.634000074259589,-14.468905498898202,DESCENDING,Ragi,12.7416126,77.5814512
2021-10-04,-7.055292473653627,-12.389014369502691,DESCENDING,Ragi,12.7416126,77.5814512
2021-10-16,-10.407748223456908,-13.76127126621986,DESCENDING,Ragi,12.7416126,77.5814512
2021-10-28,-9.199398811543928,-10.418127327469914,DESCENDING,Ragi,12.7416126,77.5814512
2021-04-07,-10.954606858466002,-18.788204959167633,DESCENDING,Ragi,12.7426469,77.5818641
2021-04-19,-10.494191928746385,-19.231870884395306,DESCENDING,Ragi,12.7426469,77.5818641
2021-05-01,-7.585979972884651,-14.518333136599686,DESCENDING,Ragi,12.7426469,77.5818641
2021-05-13,-11.657963218706415,-11.841689780666115,DESCENDING,Ragi,12.7426469,77.5818641
2021-05-25,-12.912598156155289,-20.348778868423402,DESCENDING,Ragi,12.7426469,77.5818641
2021-06-06,-10.231690886090057,-13.603100582291157,DESCENDING,Ragi,12.7426469,77.5818641
2021-06-18,-10.096771190543329,-18.762714278519777,DESCENDING,Ragi,12.7426469,77.5818641
2021-06-30,-8.604042149814727,-17.03458049399888,DESCENDING,Ragi,12.7426469,77.5818641
2021-07-12,-11.879208387758489,-15.887570684659394,DESCENDING,Ragi,12.7426469,77.5818641
2021-07-24,-10.744917212546481,-15.17597044591726,DESCENDING,Ragi,12.7426469,77.5818641
2021-08-05,-13.326869270676236,-17.223057076715545,DESCENDING,Ragi,12.7426469,77.5818641
2021-08-17,-9.739560100235435,-15.744387579664508,DESCENDING,Ragi,12.7426469,77.5818641
2021-08-29,-8.47077897814466,-19.877663936862106,DESCENDING,Ragi,12.7426469,77.5818641
2021-09-10,-12.45947052205383,-15.919983997419688,DESCENDING,Ragi,12.7426469,77.5818641
2021-09-22,-7.383778790525532,-21.413091635641717,DESCENDING,Ragi,12.7426469,77.5818641
2021-10-04,-9.730020317227861,-13.105256728725298,DESCENDING,Ragi,12.7426469,77.5818641
2021-10-16,-7.4831266511812125,-17.358952320291536,DESCENDING,Ragi,12.7426469,77.5818641
2021-10-28,-10.88185766714933,-17.703180802989973,DESCENDING,Ragi,12.7426469,77.5818641
2021-04-07,-15.8840113028293,-21.246883178538436,DESCENDING,Ragi,12.74302,77.5813856
2021-04-19,-13.731318608983948,-18.30859232397178,DESCENDING,Ragi,12.74302,77.5813856
2021-05-01,-11.526761164647874,-17.253639430385213,DESCENDING,Ragi,12.74302,77.5813856
2021-05-13,-8.80499408880705,-16.4849365045967,DESCENDING,Ragi,12.74302,77.5813856
2021-05-25,-8.3032964235231,-19.762072785863143,DESCENDING,Ragi,12.74302,77.5813856
2021-06-06,-12.471236547487152,-21.35737757625824,DESCENDING,Ragi,12.74302,77.5813856
2021-06-18,-7.0711289990241255,-18.696296698328343,DESCENDING,Ragi,12.74302,77.5813856
2021-06-30,-9.2437352897709,-22.093429142378,DESCENDING,Ragi,12.74302,77.5813856
2021-07-12,-11.051292158151194,-22.722519635129412,DESCENDING,Ragi,12.74302,77.5813856
