Latitude,Longitude,Crop_Name,VV_0,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VH_0,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14
12.7206475,77.2726705,Ragi,-6.058421479,-4.253169987,-5.142426727,-5.359887483,-4.284710934,-5.268684666,-5.553873922,-1.722022079,-4.150567036,-3.950005253,-2.441384563,-3.303446757,-5.788947156,-4.176433175,-3.222697701,-13.48200947,-13.68364341,-14.74705377,-14.35065515,-14.96356627,-11.94973259,-15.44762742,-14.31315363,-12.4205755,-15.7861767,-18.97945609,-17.99360961,-14.28844439,-15.67245794,-16.15010426
12.7409465,77.5790477,Ragi,-12.44768597,-10.18217805,-7.932489788,-8.321297272,-9.100215392,-10.42714656,-10.18310036,-9.837863486,-9.131236541,-10.18950761,-10.2442859,-8.416225166,-8.334350225,-7.092668795,-8.413954973,-19.48405826,-15.90262023,-19.49866945,-14.45162047,-21.47030364,-16.68421241,-14.96829321,-17.80436831,-14.79303066,-17.03499981,-15.24076472,-17.01396796,-14.76058184,-19.08885092,-13.76867603
12.7409536,77.5790389,Ragi,-12.44768597,-10.18217805,-7.932489788,-8.321297272,-9.100215392,-10.42714656,-10.18310036,-9.837863486,-9.131236541,-10.18950761,-10.2442859,-10.74409297,-8.334350225,-7.092668795,-8.413954973,-19.48405826,-15.90262023,-19.49866945,-14.45162047,-21.47030364,-16.68421241,-14.96829321,-17.80436831,-14.79303066,-17.03499981,-15.24076472,-16.81739258,-14.76058184,-19.08885092,-13.76867603
12.7409564,77.5790514,Ragi,-12.44768597,-9.284658624,-7.932489788,-8.321297272,-9.100215392,-10.42714656,-10.18310036,-9.837863486,-9.131236541,-10.18950761,-10.2442859,-10.74409297,-8.334350225,-7.092668795,-8.413954973,-19.48405826,-15.44897605,-19.49866945,-14.45162047,-21.47030364,-16.68421241,-14.96829321,-17.80436831,-14.79303066,-17.03499981,-15.24076472,-16.81739258,-14.76058184,-19.08885092,-13.76867603
12.74096,77.5790562,Ragi,-12.44768597,-9.284658624,-7.932489788,-8.321297272,-9.100215392,-10.42714656,-10.18310036,-9.837863486,-9.131236541,-10.18950761,-10.90163942,-10.74409297,-8.334350225,-7.092668795,-8.413954973,-19.48405826,-15.44897605,-19.49866945,-14.45162047,-21.47030364,-16.68421241,-14.96829321,-17.80436831,-14.79303066,-17.03499981,-18.79754979,-16.81739258,-14.76058184,-19.08885092,-13.76867603
12.7409616,77.57903,Ragi,-12.44768597,-9.284658624,-7.932489788,-8.321297272,-9.100215392,-10.42714656,-10.18310036,-9.837863486,-9.131236541,-8.966823066,-10.90163942,-10.74409297,-8.334350225,-7.092668795,-8.413954973,-19.48405826,-15.44897605,-19.49866945,-14.45162047,-21.47030364,-16.68421241,-14.96829321,-17.80436831,-14.79303066,-19.81372716,-18.79754979,-16.81739258,-14.76058184,-19.08885092,-13.76867603
12.7409624,77.5790461,Ragi,-12.44768597,-9.284658624,-7.932489788,-8.321297272,-9.100215392,-10.42714656,-10.43582646,-9.837863486,-9.131236541,-8.966823066,-10.90163942,-10.74409297,-8.334350225,-7.092668795,-8.413954973,-19.48405826,-15.44897605,-19.49866945,-14.45162047,-21.47030364,-16.68421241,-16.80467316,-17.80436831,-14.79303066,-19.81372716,-18.79754979,-16.81739258,-14.76058184,-19.08885092,-13.76867603
12.7409818,77.5790585,Ragi,-12.44768597,-9.284658624,-7.932489788,-8.321297272,-11.02752251,-10.42714656,-10.43582646,-9.43263525,-9.131236541,-8.966823066,-10.90163942,-10.74409297,-8.334350225,-7.035975753,-8.413954973,-19.48405826,-15.44897605,-19.49866945,-14.45162047,-18.25059152,-16.68421241,-16.80467316,-19.31032881,-14.79303066,-19.81372716,-18.79754979,-16.81739258,-14.76058184,-15.56989118,-13.76867603
12.7411209,77.5784134,Ragi,-6.618200979,-8.483873439,-6.302029043,-12.05275852,-11.7328257,-9.557275998,-10.12716939,-6.849020823,-8.074483315,-10.4377998,-7.240176348,-8.543526905,-10.72047317,-9.813568064,-9.971887709,-19.81347763,-23.4205984,-21.41729344,-20.00731662,-19.20686914,-21.73714395,-14.79346629,-12.85184108,-12.72924945,-15.82804062,-14.7085501,-18.84460867,-19.01271228,-14.04496796,-15.78582876
12.7415817,77.5814417,Ragi,-7.925518639,-11.72706442,-9.498338282,-7.83559004,-9.194763341,-6.837509961,-12.72511353,-6.282289131,-7.542887125,-7.892322022,-9.666408931,-8.944672372,-7.855981625,-10.05304779,-7.684635892,-17.32237488,-14.26173392,-16.52707208,-10.84355646,-18.47890339,-14.7158745,-14.48305128,-18.25782428,-16.03141292,-15.34277379,-17.26036517,-17.6522926,-16.03713846,-12.59724863,-14.97914828
