Latitude,Longitude,Crop_Name,VV_0,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VH_0,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14
12.8617735,77.8261188,Eucalyptus,-7.511051015,-12.09483299,-9.957013901,-5.472362693,-10.12753225,-7.707584659,-14.32077596,-8.988230581,-11.54624697,-9.776756509,-9.4729286,-6.890761071,-8.009283012,-8.920962943,-10.10368583,-16.28606291,-23.03226555,-19.1810839,-16.95022441,-18.58085797,-24.57113961,-16.74135384,-15.8276011,-16.99908139,-13.98636464,-16.69565343,-17.68224334,-15.23067413,-17.22871495,-12.93082801
12.861778,77.8261364,Beans,-7.511051015,-12.09483299,-10.06035275,-5.472362693,-10.12753225,-7.707584659,-14.32077596,-8.988230581,-11.54624697,-9.776756509,-9.4729286,-6.890761071,-8.009283012,-9.331335364,-10.10368583,-16.28606291,-23.03226555,-21.79490584,-16.95022441,-18.58085797,-24.57113961,-16.74135384,-15.8276011,-16.99908139,-13.98636464,-16.69565343,-17.68224334,-15.23067413,-15.81013133,-12.93082801
12.8618022,77.8261145,Paddy,-7.511051015,-12.09483299,-9.957013901,-7.037363609,-10.12753225,-5.265025243,-14.32077596,-8.988230581,-11.44663163,-9.776756509,-9.4729286,-6.890761071,-8.009283012,-8.920962943,-10.10368583,-16.28606291,-23.03226555,-19.1810839,-18.07363668,-18.58085797,-20.22913679,-16.74135384,-15.8276011,-15.79951987,-13.98636464,-16.69565343,-17.68224334,-15.23067413,-17.22871495,-12.93082801
12.8626625,77.8306259,Coconut,-8.042571199,-5.364614959,-10.80771975,-7.525553384,-9.070049715,-9.842684997,-9.360428484,-9.872401883,-7.566356593,-7.725575287,-10.93481967,-8.384501325,-7.351620587,-6.493318424,-8.828490208,-16.10265765,-20.30276931,-15.53612486,-12.28859442,-13.66543194,-12.26927779,-18.37549915,-11.75192064,-12.04089387,-16.27876106,-10.91041062,-14.16090787,-11.28368919,-16.31264908,-12.88820771
12.8627004,77.8301062,Eucalyptus,-10.49900011,-10.723671,-8.490971076,-5.955729919,-9.482768484,-8.277846163,-10.26158131,-9.954787136,-8.798872627,-10.53701576,-10.03082862,-9.760994122,-5.800317327,-7.441179315,-9.4265341,-18.491014,-16.42448211,-16.51203174,-12.39087692,-20.79966715,-10.39479664,-18.22255415,-15.86863791,-16.85814183,-12.16117728,-16.74778058,-14.64014101,-16.94077082,-11.95099807,-14.65728567
12.86270232,77.83010889,Eucalyptus,-10.49900011,-10.723671,-8.490971076,-5.955729919,-9.482768484,-8.277846163,-10.26158131,-9.954787136,-8.798872627,-10.53701576,-10.03082862,-9.760994122,-5.800317327,-7.89481824,-9.4265341,-18.491014,-16.42448211,-16.51203174,-12.39087692,-20.79966715,-10.39479664,-18.22255415,-15.86863791,-16.85814183,-12.16117728,-16.74778058,-14.64014101,-16.94077082,-14.86373106,-14.65728567
12.8627102,77.8301169,Eucalyptus,-10.49900011,-10.723671,-9.57292244,-5.955729919,-9.482768484,-8.284476493,-10.26158131,-9.954787136,-8.798872627,-10.53701576,-10.03082862,-9.760994122,-5.800317327,-7.89481824,-8.714788937,-18.491014,-16.42448211,-17.55756506,-12.39087692,-20.79966715,-11.38259246,-18.22255415,-15.86863791,-16.85814183,-12.16117728,-16.74778058,-14.64014101,-16.94077082,-14.86373106,-16.00060793
12.8628099,77.8284398,Paddy,-12.0160423,-10.22300039,-11.51337704,-7.707041865,-13.09481797,-7.322381173,-10.50940667,-12.02834836,-10.35475785,-12.4334362,-8.59859658,-12.43065426,-7.379934821,-9.499535945,-10.16267454,-21.05177971,-21.87547662,-14.36538705,-12.16529916,-19.47216726,-19.3699677,-20.03143399,-18.36401096,-9.919419717,-16.68348373,-17.75971124,-17.48336618,-16.80536003,-14.31794291,-14.21389852
12.8629322,77.8275765,Guava,-10.39391683,-8.175379875,-12.30452138,-11.45151215,-13.52192118,-11.38346138,-10.8655497,-9.445454217,-12.56302067,-8.651001921,-11.57474585,-9.536015445,-7.119281732,-10.24674498,-9.16551196,-27.42740917,-15.34811631,-13.64565755,-14.60245149,-17.22422239,-13.93922149,-15.75731345,-14.57685659,-13.19904036,-14.47967015,-17.89895151,-18.7584424,-15.07689502,-16.39891963,-14.2630994
12.8629512,77.8275823,Guava,-10.39391683,-8.175379875,-12.30452138,-10.66033726,-13.52192118,-11.38346138,-10.8655497,-9.445454217,-13.55590306,-8.651001921,-11.57474585,-9.536015445,-7.119281732,-10.24674498,-9.16551196,-27.42740917,-15.34811631,-13.64565755,-14.88526494,-17.22422239,-13.93922149,-15.75731345,-14.57685659,-14.42712139,-14.47967015,-17.89895151,-18.7584424,-15.07689502,-16.39891963,-14.2630994
