Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.193067521,0.208384335,0.241262466,0.399773479,0.379972667,0.283793986,0.089532368,0.150919884,0.610030174,0.222867429,0.306113601,0.306113601,-13.0552301,-8.707869876,-11.43906196,-8.60496668,-9.413546588,-9.405600602,-13.37204571,-7.969848205,-9.912620218,-7.691452347,-8.556610811,-5.546427823,-7.569889179,-8.189345959,-5.601464071,-17.29126521,-21.15439248,-19.90201307,-16.25887992,-13.45305297,-16.08858809,-20.71503313,-19.86834329,-14.91701282,-13.06947072,-12.4814105,-14.57937331,-14.66640268,-18.9657952,-15.31584075
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.317887366,0.378479451,0.152365446,0.286294878,0.225482583,0.103380449,0.232236058,0.035058368,0.327973068,0.206022367,0.231550753,0.14928256,-11.11993059,-10.0728603,-8.908033131,-6.996752834,-7.176229152,-8.411986307,-10.12208756,-9.361982316,-7.873452239,-5.13504976,-6.986727669,-5.291478676,-6.449493283,-9.452404301,-7.263974509,-20.62462735,-17.22655138,-13.15969958,-11.95218225,-13.11443451,-16.97638041,-14.77575526,-20.56164732,-21.60868054,-15.53806208,-18.95248539,-17.90995003,-15.32326585,-18.76756773,-14.35422872
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.317887366,0.378479451,0.152365446,0.286294878,0.225482583,0.103380449,0.232236058,0.035058368,0.327973068,0.206022367,0.231550753,0.14928256,-8.831454601,-9.545603404,-8.908033131,-6.996752834,-10.8248397,-8.411986307,-10.12208756,-9.361982316,-8.039000516,-5.13504976,-7.280445021,-5.30470745,-6.449493283,-9.452404301,-7.263974509,-16.7923677,-15.11932973,-13.15969958,-11.95218225,-14.75586757,-16.97638041,-14.77575526,-20.56164732,-18.52514829,-15.53806208,-18.38158148,-16.77162743,-15.32326585,-18.76756773,-14.35422872
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.265870601,0.16263853,0.173293024,0.100046903,0.101729825,0.117788255,0.524089754,0.163145706,0.531041145,0.156970546,0.076680541,0.230971634,-11.13155086,-13.72851364,-6.967513581,-7.696094737,-8.708397616,-13.37163145,-9.005324401,-12.07043108,-6.605498851,-11.91130999,-13.48711384,-10.27523896,-10.08588646,-12.06482252,-10.2690242,-20.49712195,-20.39100151,-19.67354933,-16.45538479,-18.19759003,-18.11800411,-17.67863044,-17.4282735,-19.18180345,-18.43461757,-16.15988931,-21.19915481,-14.24047315,-15.51082505,-16.80098905
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.226417497,0.230717644,0.404738188,0.303265125,0.322190702,0.190207794,0.304071039,0.308209389,0.271982759,0.09241423,0.276795328,0.227781296,-12.43745337,-13.8367347,-12.33135869,-9.898493541,-10.62654812,-7.36093255,-11.33376274,-9.508417716,-13.73438304,-7.601740533,-12.34186169,-9.145999599,-5.776613985,-8.279442267,-10.63161482,-18.72248125,-21.0733134,-18.09722224,-14.62708006,-15.77750846,-13.69999726,-18.43938311,-17.39992114,-18.96193004,-22.12080527,-21.04636828,-17.18404232,-14.96853294,-13.35026909,-16.01264042
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.222325504,0.209097385,0.204777002,0.268998176,0.242863014,0.271600842,0.214599722,0.266569376,0.407362819,0.141573712,0.193004221,0.339471042,-12.52772043,-13.18463564,-15.18983076,-8.02546701,-11.89910521,-8.881357956,-12.73077773,-10.15703165,-9.63227804,-12.37962181,-10.46194447,-13.05286436,-13.47952641,-11.99738541,-11.2393107,-19.31721547,-22.72086083,-15.46906195,-17.1232829,-20.10314039,-17.25312712,-18.98029971,-21.2323862,-16.17366823,-15.27660723,-14.63527995,-17.12568316,-19.9382964,-18.65155844,-16.41011508
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.266067207,0.276471049,0.360423356,0.313766778,0.344031602,0.233441934,0.243070316,0.235098988,0.279059976,0.14955242,0.212691098,0.362708867,-13.10081138,-13.18463564,-15.18983076,-7.121938874,-11.36692705,-8.881357956,-12.73077773,-10.15703165,-11.11358596,-11.65034622,-8.482994408,-12.53706513,-11.5440537,-11.99738541,-11.2393107,-18.98899874,-22.72086083,-15.46906195,-13.84455912,-18.37050299,-17.25312712,-18.98029971,-21.2323862,-14.22012816,-17.33975233,-14.77008352,-17.82070146,-14.5181715,-18.65155844,-16.41011508
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.197324887,0.203809127,0.30772233,0.278728127,0.301248193,0.209417865,0.172054082,0.188371792,0.301513791,0.152152225,0.214524359,0.386614352,-17.32912841,-15.1582788,-11.99530814,-11.99354575,-14.56489507,-11.57098148,-14.67501095,-11.43150771,-10.36292897,-11.32022762,-11.80505292,-10.4470476,-11.86163661,-10.83050679,-6.684592885,-28.26553197,-23.76667673,-23.29075571,-16.85217909,-24.17477223,-16.98572684,-20.69360465,-18.30596523,-19.16356136,-19.33781133,-20.18532232,-25.84732578,-16.61642144,-22.6412624,-19.54490541
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.22128661,0.26658839,0.335116386,0.580753922,0.592546165,0.072974741,0.168546692,0.264118642,0.206997246,0.125587717,0.280325055,0.356693476,-8.449734622,-5.320336425,-8.102676798,-5.251183223,-6.135644619,-4.165158461,-5.794471007,-4.570935393,-3.951451436,-3.961352664,-9.361726704,-10.21151648,-4.282000264,-9.547409482,-7.427344162,-22.97041351,-15.27854498,-16.84064392,-14.9397314,-14.85692195,-12.08608897,-9.628923951,-10.38994097,-10.1638212,-15.8701945,-16.34606418,-19.02559965,-16.34199855,-16.79655204,-18.09842892
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.154234096,0.185008824,0.196352601,0.269636184,0.180815876,0.179605231,0.202445567,0.245051727,0.425080776,0.150086999,0.184230372,0.277791202,-14.51932508,-9.278596734,-12.37542459,-5.461005119,-11.97728015,-10.79981847,-11.14303391,-11.04709721,-13.75403655,-6.728051101,-7.909039157,-9.379752459,-8.853700338,-6.513440386,-7.415088295,-22.73874896,-21.92099498,-18.39149759,-16.20684902,-19.51735706,-19.23541858,-22.28830649,-18.4437734,-20.2985149,-16.58895976,-23.34965091,-18.70445085,-16.35927173,-18.13365261,-16.58333931
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.301744699,0.335024655,0.38857168,0.449882776,0.342993826,0.051909756,0.136294261,0.253854901,0.42064169,0.172633573,0.106968552,0.401057959,-13.30352112,-11.53279769,-7.997660598,-8.327012062,-14.0092076,-7.363432141,-11.43027064,-10.89740667,-12.23757129,-4.983362658,-7.895713483,-11.03064578,-10.49858997,-12.06556097,-10.91096213,-19.3474389,-23.00880418,-16.99497802,-14.63562336,-19.6736375,-14.97249146,-22.04921076,-24.23125356,-23.78701942,-20.55400234,-20.1041938,-27.19581687,-19.85495009,-21.45762216,-17.23260774
Beans,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.26584506,0.392739385,0.596045852,0.370277673,0.17678991,0.211730391,0.224993706,0.165962398,0.261851937,0.100283124,0.192176476,0.222899497,-10.33901325,-13.55832814,-7.740914846,-6.814293759,-8.31002627,-7.350136687,-10.01359904,-8.845615873,-10.86321032,-7.788740571,-7.291427794,-12.72917454,-6.461464654,-9.136490761,-9.357933126,-25.57581432,-17.5023738,-19.67773047,-15.16459814,-20.26048894,-14.99830814,-19.81508591,-13.84524345,-16.49265247,-15.92277093,-20.86457569,-14.19789977,-15.49834855,-19.4137078,-18.25305682
