Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.232023448,0.281107366,0.467593074,0.249368683,0.320199251,0.077139094,0.067851193,0.039511748,0.349204242,0.143131435,0.229995653,0.116400421,-9.407592723,-12.14057101,-6.277757508,-9.086375033,-7.578758808,-4.380329841,-13.78693962,-9.127896518,-9.384393185,-7.154887017,-8.419498884,-8.464450777,-6.444176843,-8.4629433,-5.454958839,-23.41420657,-21.17635218,-14.66001029,-11.85748278,-21.2323486,-16.28706466,-23.6008665,-19.74672513,-13.73649451,-16.00618074,-19.31830778,-13.00737858,-15.12130061,-14.18408932,-15.62839416
Teak,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.296436876,0.351194263,0.339810014,0.497236431,0.564809382,0.079689369,0.07018733,0.063218541,0.410451949,0.150992721,0.23580195,0.075442433,-8.84385608,-9.391532767,-5.658535902,-6.222858396,-8.941786434,-7.369111804,-6.5498249,-9.360254226,-6.503787683,-7.585305192,-6.60752904,-8.336099587,-7.066884554,-7.423134658,-8.423451133,-14.88579912,-17.39492388,-15.72288155,-12.63901952,-14.69675947,-15.72772144,-17.05876289,-17.81842418,-15.90639661,-12.00110946,-13.77411618,-13.78496283,-11.69862572,-14.90814169,-13.16859692
Teak,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.386454672,0.440659702,0.538847208,0.457451642,0.519755006,0.288491577,0.085162282,0.165531844,0.556227446,0.168009788,0.289495349,0.084818892,-10.28461891,-12.9425319,-12.3459616,-7.733172439,-11.10934255,-9.273374512,-8.624772541,-7.175899158,-7.730192919,-8.538515778,-5.005464664,-9.745310706,-6.616645031,-6.489489461,-6.660308811,-16.5322761,-20.59369319,-17.00218337,-14.74485143,-16.64091244,-19.33785995,-15.82355274,-13.9887563,-20.31793089,-16.01525898,-15.16225115,-18.12042046,-15.77251683,-12.64056719,-15.12114383
Teak,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.386454672,0.440659702,0.538847208,0.457451642,0.519755006,0.288491577,0.085162282,0.165531844,0.556227446,0.168009788,0.289495349,0.084818892,-10.28461891,-12.9425319,-12.3459616,-7.733172439,-11.10934255,-9.273374512,-8.624772541,-7.175899158,-7.730192919,-8.538515778,-5.005464664,-9.745310706,-6.616645031,-7.662511148,-6.660308811,-16.5322761,-20.59369319,-17.00218337,-14.74485143,-16.64091244,-19.33785995,-15.82355274,-13.9887563,-20.31793089,-16.01525898,-15.16225115,-18.12042046,-15.77251683,-12.87541115,-15.12114383
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.25695768,0.301892728,0.340329438,0.311165214,0.419464618,0.285147578,0.136860937,0.142937124,0.677852631,0.181658804,0.292528212,0.041623227,-8.471016989,-9.884328541,-7.038035618,-8.554638125,-7.281214545,-8.057355013,-9.499909093,-10.8022699,-12.33018711,-7.63644765,-10.87163799,-9.766436809,-10.09560141,-6.200078563,-10.20994113,-17.59197074,-19.59124167,-14.07200594,-13.24811614,-17.83291859,-14.44545932,-17.36811578,-17.12238623,-15.63686108,-15.1113465,-12.83217811,-14.92199686,-14.89958309,-14.09429946,-12.85416846
Teak,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.521233797,0.303248167,0.360255629,0.360946327,0.346256554,0.102177307,0.400810838,0.253214061,0.395469844,0.172981098,0.256448418,0.034001019,-10.99083971,-13.36123794,-5.597204326,-3.04867749,-11.26248624,-5.525018844,-7.062876572,-9.366060451,-8.626642913,-5.973809787,-10.11233849,-11.9794024,-4.083383846,-9.539388729,-5.530674644,-16.33074287,-15.31391048,-17.30502407,-12.87770946,-17.86973147,-15.93788126,-18.56952796,-15.57269949,-16.86144591,-12.70874676,-16.07025462,-15.70163001,-12.77013692,-14.82328074,-13.92667472
Teak,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.381674498,0.231116861,0.216251031,0.222785041,0.244234264,0.272623897,0.457113922,0.254240781,0.480227083,0.170202419,0.218416065,0.03242385,-10.99083971,-11.95827819,-5.597204326,-2.704383983,-11.26248624,-5.74197659,-9.627070001,-9.736810686,-7.222239498,-7.717283172,-10.11233849,-11.9794024,-4.761060039,-9.539388729,-8.821708933,-16.33074287,-16.31257883,-17.30502407,-13.04588479,-17.86973147,-15.75182239,-17.5358603,-16.88784304,-18.63964469,-13.84242308,-16.07025462,-15.70163001,-12.26147458,-14.82328074,-14.40629433
Banana,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.301101327,0.319200784,0.412631631,0.417391598,0.391565084,0.343417794,0.284396812,0.225375831,0.422540218,0.162394732,0.210407868,0.028392974,-11.25877841,-11.65853252,-5.235159037,-6.187731771,-10.77761059,-5.869339165,-9.13790069,-8.411133376,-9.106995927,-9.801560004,-10.11763997,-8.788157286,-8.608106389,-7.542870586,-9.178778511,-19.59875299,-17.25433277,-17.77617076,-17.61058667,-18.52068997,-12.44596655,-17.17694208,-13.58134746,-15.38432358,-14.81406647,-20.93695575,-17.62475566,-19.10531652,-18.19937744,-16.5343414
Acacia,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.460381359,0.500607431,0.488691747,0.732291818,0.686328292,0.399026155,0.074246667,0.385623544,0.751896322,0.237329736,0.2629098,0.016547151,-9.056220904,-7.914043892,-8.393666323,-5.915553508,-5.824468438,-6.720497334,-6.962275146,-13.1891508,-9.559791526,-6.11472201,-9.349854691,-8.424638319,-7.558027802,-5.975630426,-8.658936131,-15.5239265,-13.35243915,-15.06664148,-14.67336348,-16.12575638,-15.15284243,-16.31978562,-12.44596229,-14.98993868,-9.334394787,-13.86005009,-16.97613203,-15.08860253,-12.36186718,-15.66628299
Malabar Neem,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.430883467,0.485362083,0.408546209,0.718783855,0.668032646,0.386085868,0.089722969,0.385808766,0.747484207,0.23510702,0.247460559,0.014438207,-8.856485043,-8.572847653,-6.854557168,-10.45618466,-5.099470131,-5.764558307,-8.471889046,-9.525442782,-10.52405131,-11.21183246,-7.342680558,-6.647346444,-10.50260738,-9.298444794,-8.33509955,-16.63863245,-17.30745817,-12.22088136,-13.89534247,-16.01707496,-14.22276377,-13.97231564,-13.78214388,-18.0136408,-15.70701218,-15.67009836,-13.92294098,-13.98707487,-13.32987496,-14.60310748
