Latitude,Longitude,Name,Crop_Name,Duration,Height,height_numeric,duration_numeric,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15
12.8626625,77.8306259,Bangalore Rural,Coconut,Long,Tall,3,3,0.286193323,0.273484747,0.243973868,0.206119496,0.314299658,0.343741588,0.036084137,0.059321331,0.169164169,0.479271126,0.524484536,0.541739895,0.541036717,0.613633149,0.405544148,0.10795226,0.391651865,-0.008777853,0.336193448,0.241618497,0.17203252,0.011773789,0.027796922,0.298484848,0.048392182,0.209920494,0.138996421,0.080300825,0.090576618,0.589068826,0.063706763,0.105917454,0.178972851,0.514112673,0.493573265,0.59882907,0.018526436,-8.042571199,-5.364614959,-10.80771975,-7.525553384,-9.070049715,-9.842684997,-9.360428484,-9.872401883,-7.566356593,-7.725575287,-10.93481967,-8.384501325,-7.351620587,-6.493318424,-8.828490208,-16.10265765,-20.30276931,-15.53612486,-12.28859442,-13.66543194,-12.26927779,-18.37549915,-11.75192064,-12.04089387,-16.27876106,-10.91041062,-14.16090787,-11.28368919,-16.31264908,-12.88820771
12.8628099,77.8284398,Bangalore Rural,Paddy,Medium,Short,1,2,0.258237056,0.26844584,0.234083851,0.196558317,0.316850696,0.354224698,-0.029801211,0.040514174,0.160927378,0.336104513,0.345838218,0.117152859,0.336932569,0.29000947,0.31786372,0.251206302,0.302596054,-0.006903948,0.416742909,0.218518519,0.169230769,0.002257336,0.029294032,0.264467484,0.027163794,0.172294038,0.195373969,0.076797003,0.079293158,0.318362633,0.064660509,0.121209896,0.168416248,0.26236828,0.361295994,0.276344298,0.018590514,-12.0160423,-10.22300039,-11.51337704,-7.707041865,-13.09481797,-7.322381173,-10.50940667,-12.02834836,-10.35475785,-12.4334362,-8.59859658,-12.43065426,-7.379934821,-9.499535945,-10.16267454,-21.05177971,-21.87547662,-14.36538705,-12.16529916,-19.47216726,-19.3699677,-20.03143399,-18.36401096,-9.919419717,-16.68348373,-17.75971124,-17.48336618,-16.80536003,-14.31794291,-14.21389852
12.862968,77.8283026,Bangalore Rural,Coconut,Long,Tall,3,3,0.301871249,0.286695279,0.257074532,0.307280176,0.33732834,0.412184674,-0.008554853,0.02986913,0.158198811,0.365197117,0.390166702,0.108073989,0.416421569,0.376385174,0.386750664,0.275318506,0.344389403,-0.007260992,0.507503902,0.244143033,0.171232877,0.006024096,0.025309541,0.281323877,0.012148823,0.146489454,0.236927792,0.077694236,0.07096347,0.35950645,0.059414776,0.139434377,0.182448037,0.271793055,0.380417335,0.23151646,0.019618913,-11.62946527,-9.182902574,-11.21497818,-10.29234369,-10.05381269,-9.06463129,-10.54625548,-13.23172661,-11.53802781,-12.28814777,-8.631307731,-12.46029861,-10.90137341,-10.54579132,-8.754375592,-18.50799841,-20.99556233,-16.00798003,-18.0120083,-13.86717442,-18.47407981,-15.99924506,-20.67665696,-15.32973761,-13.72568912,-15.20451273,-18.33596646,-16.06673271,-18.35744577,-15.96593857
12.8630656,77.8299433,Bangalore Rural,Coconut,Long,Tall,3,3,0.360886008,0.303608247,0.265260821,0.157647059,0.281481481,0.419283134,0.013514413,0.042988971,0.169773635,0.545278388,0.527885272,0.498586239,0.553220901,0.584326109,0.372693727,0.172013054,0.39574853,-0.005930718,0.396941633,0.200317209,0.177213141,0.001408318,0.027563396,0.268656716,0.036797837,0.169092104,0.132605304,0.080192077,0.122779704,0.481051176,0.05479727,0.129872649,0.196896934,0.452061034,0.47133758,0.478877582,0.021285653,-14.33588524,-9.418284149,-9.147468458,-6.095708463,-6.914117308,-7.154087127,-11.05345343,-7.507532043,-7.999005916,-14.96002697,-10.31891575,-8.269641541,-7.294475285,-10.61949629,-7.044339696,-17.51421054,-13.21504626,-15.77196921,-13.58563013,-15.79617724,-15.38727559,-16.48140584,-14.48169479,-14.72587192,-13.58594968,-14.07032171,-15.08740303,-10.17220274,-14.27423827,-14.15613523
12.8631557,77.8281598,Bangalore Rural,Coconut,Long,Tall,3,3,0.230033278,0.233305509,0.208875287,0.197853309,0.23694312,0.306812986,0.034124025,0.038232795,0.143196471,0.288349709,0.250602857,0.129574443,0.240576027,0.277934849,0.247911353,0.244586667,0.288374017,-0.005251111,0.411658789,0.226765799,0.179578032,0.006415094,0.029902138,0.238958991,0.011792668,0.160956938,0.171501631,0.073748388,0.066055246,0.285223368,0.053345725,0.14336231,0.171559633,0.261766261,0.315195072,0.176022835,0.017605883,-17.06226314,-11.76787901,-12.16225756,-4.935595935,-10.61253861,-10.44871101,-12.04442331,-12.43495283,-8.690448684,-10.42340271,-10.05723362,-11.93886141,-9.608552616,-12.71357996,-10.15794763,-22.07646822,-13.5885816,-12.63022561,-16.51598342,-15.95839246,-16.98902069,-14.45440043,-22.96505651,-14.56429156,-14.85085408,-15.63695083,-14.06656935,-15.6110297,-23.73302252,-14.4088619
12.8635304,77.8313853,Bangalore Rural,Coconut,Long,Tall,3,3,0.304376225,0.321549565,0.280291971,0.266157054,0.292807838,0.44013683,0.052711057,0.08830977,0.141178391,0.444940705,0.411042945,0.43169058,0.406584992,0.453035807,0.399468194,0.232570906,0.315689981,-0.011489508,0.444129325,0.125,0.165116279,0.00697076,0.028303621,0.30963481,0.050324285,0.164443579,0.095267824,0.08196319,0.081279798,0.448988631,0.060599662,0.093286835,0.130434783,0.396369548,0.386444709,0.386850708,0.020346969,-10.58237867,-8.243969485,-9.88863548,-3.608271158,-8.961229448,-7.892314454,-10.60433007,-11.32801973,-9.517710319,-6.878981159,-10.09793533,-7.230194953,-8.553344833,-12.80969355,-9.219097974,-18.55235471,-18.75522743,-16.52796517,-15.48685171,-16.86043758,-17.40379388,-15.69462905,-13.06175778,-14.27269057,-23.14699426,-15.21498236,-13.99226391,-16.15490709,-17.72307743,-13.88543076
12.8699443,77.8227563,Bangalore Rural,Redgram,Medium,Medium,2,2,0.363963244,0.311879861,0.279285391,0.327662915,0.239046034,0.400178518,0.427571554,0.226587302,0.116348897,0.240648379,0.359621451,0.459878251,0.414678345,0.490489351,0.300134288,0.351365828,0.221426808,-0.008778826,0.380295098,0.228020819,0.094666294,-0.0009653,0.016427281,0.170992862,0.331577214,0.157802747,0.259828403,0.084663175,0.075586643,0.359149383,0.048141816,0.075001446,0.181723347,0.11763093,0.476516403,0.025995492,0.021077946,-8.199193939,-10.69213667,-9.219729226,-5.173258577,-8.880430191,-7.283958468,-9.188090878,-6.524904558,-13.38213132,-10.55997331,-5.181769331,-4.806120556,-6.51693125,-5.462456314,-5.705122997,-13.77904828,-15.58802439,-16.1882167,-11.643873,-16.31596304,-16.06094258,-18.18228204,-14.10473216,-20.9593218,-13.83805665,-13.77833651,-14.90635181,-16.30232803,-13.24471088,-13.76860437
12.8700392,77.8284221,Bangalore Rural,Redgram,Medium,Medium,2,2,0.294874851,0.283010365,0.26282323,0.365204306,0.218359587,0.414452214,0.37597782,0.071689989,0.149347511,0.262477373,0.3768,0.379347359,0.346355407,0.428259021,0.221177635,0.261806131,0.235971223,-0.006392818,0.287174595,0.079339364,0.128609705,0.007660235,0.020743146,0.229483847,0.217493167,0.187958317,0.124853711,0.074583982,0.045489151,0.471847218,0.046412704,0.138028523,0.158161113,0.33405067,0.391414141,0.53139689,0.019178474,-9.310061247,-8.729459515,-7.563405855,-9.714041573,-13.64309525,-5.767180572,-10.63633116,-6.399133849,-10.46751481,-8.612597106,-8.394209542,-7.660349946,-10.93787174,-9.569986047,-7.310854791,-17.88836528,-19.34811798,-16.65311036,-16.35580887,-17.54193,-16.43840874,-15.68513673,-17.15455528,-13.66978481,-16.01652246,-11.6453837,-14.12959199,-11.96840385,-17.69890703,-16.56117075
12.8708199,77.831753,Bangalore Rural,Redgram,Medium,Medium,2,2,0.158680472,0.178481303,0.174364191,0.220641373,0.165817653,0.293993182,0.224787776,0.158438206,0.146386758,0.440233824,0.360799472,0.256762559,0.275389927,0.249512447,0.234677419,0.223433934,0.219980788,-0.008326,0.260118726,0.006255064,0.128327849,0.010161043,0.023508459,0.229971182,0.102396514,0.114705611,0.020624904,0.083343715,0.042630058,0.253553416,0.051056848,0.090951711,0.159038014,0.298541075,0.306373176,0.341228486,0.021531275,-7.628546098,-10.30565141,-6.586157952,-6.613478428,-11.52640339,-9.877021912,-8.525164996,-9.897539657,-7.384370173,-12.77475423,-11.48288914,-9.224737073,-9.012762223,-8.090185043,-7.113113682,-20.30563726,-14.89917067,-15.82888854,-11.5848699,-13.64171345,-13.31718607,-17.96987172,-16.47344907,-12.75739979,-17.56729454,-16.81873704,-16.97733053,-16.87290424,-19.34520715,-13.63038219
12.8708743,77.8285548,Bangalore Rural,Paddy,Medium,Short,1,2,0.21659751,0.214585582,0.203297895,0.224911361,0.161582603,0.264813844,0.237120595,0.056094294,0.138799225,0.249291054,0.28890993,0.323536737,0.366479989,0.484097983,0.272379129,0.392642839,0.272348189,-0.005917956,0.178725068,0.036175822,0.107934656,0.008082861,0.027080344,0.203690808,0.159140615,0.105871546,0.090293585,0.077388882,0.047819032,0.365810452,0.043633965,0.080424012,0.155978151,0.254350241,0.23916743,0.2472606,0.017087295,-9.523947384,-5.183508837,-8.317913075,-12.3107109,-10.49723352,-5.923364097,-4.62858409,-8.116690002,-9.275530619,-8.029028634,-7.493996257,-9.15451898,-8.34795124,-7.444401666,-8.284670066,-21.30040137,-22.91555056,-21.77857031,-13.08871025,-17.25670378,-14.20356003,-16.19393062,-14.81558677,-17.74391867,-17.62517936,-17.53743016,-18.43165213,-14.70424799,-15.22328784,-15.25469157
