Latitude,Longitude,Name,Crop_Name,Duration,Height,height_numeric,duration_numeric,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15
12.6614267,77.7030067,Krishnagiri,Maize,Medium,Medium,2,2,0.200476758,0.209257473,0.136706532,0.069599372,0.205331966,0.239051095,0.26855394,0.112318053,0.06281407,0.281960087,0.170430487,0.336671978,0.276448829,0.327459618,0.171783811,0.327502877,0.088949605,0.044942542,0.113086624,0.169407465,0.057068003,0.022856063,-0.007882061,0.198504308,0.122190567,0.073518616,0.215670436,0.054408261,0.032563216,0.261609907,0.358775334,0.06474359,0.059377263,0.261202693,0.078490391,0.269734837,0.223181731,-13.01958086,-19.41190694,-13.8158733,-10.35020977,-10.52937989,-5.394124002,-5.90395361,-7.939073116,-8.640684131,-6.645948326,-8.633633043,-7.965573517,-6.168829152,-9.395307963,-5.79624748,-28.39159667,-20.53093208,-20.19469379,-16.76417944,-19.32698277,-18.13734262,-17.94914695,-18.6940109,-21.18754579,-16.6229167,-16.89367338,-19.99416229,-16.34085133,-18.1384393,-16.12794519
12.6619635,77.7031145,Krishnagiri,Ragi,Low,Short,1,1,0.339554917,0.325377496,0.171177762,0.141570504,0.33229572,0.302914477,0.368511002,0.131912965,0.063438012,0.299975828,0.167326376,0.264330345,0.212753623,0.263893107,0.143877551,0.267382413,0.083709419,0.062307077,0.211881188,0.235553252,0.052512449,0.021147463,-0.001746979,0.226228462,0.119826496,0.05281253,0.355965463,0.054603428,0.034439007,0.400827452,0.299637612,0.050664978,0.053090053,0.265617064,0.097071237,0.319006044,0.25933164,-8.401573162,-11.50441173,-10.327334,-9.255182417,-9.617554912,-9.032281883,-5.192906954,-11.73415252,-9.919529617,-4.996935914,-10.79526599,-8.385892559,-5.829075542,-7.181358927,-4.647733991,-21.04851804,-21.67665841,-20.57826815,-21.19292666,-17.52833638,-16.77151352,-15.06103965,-16.66133338,-17.88235873,-14.70919266,-15.04283921,-18.80616347,-19.11812385,-20.5782492,-14.04133261
12.6620633,77.704915,Krishnagiri,Maize,Medium,Medium,2,2,0.218055887,0.229141029,0.139286361,0.065561083,0.270399197,0.296322657,0.163260822,0.094997705,0.065437089,0.127929478,0.161810079,0.146,0.128227381,0.131892547,0.145147913,0.243495935,0.087643899,0.061667835,0.191218368,0.450422752,0.042265988,0.022520364,-0.0027029,0.295985401,0.056641806,0.037107026,0.36749522,0.055094491,0.035343035,0.313668093,0.333863591,0.057545445,0.053608247,0.133490109,0.211673152,0.097085999,0.220132743,-13.93605997,-8.194552619,-13.03533179,-9.326934963,-11.63470852,-10.62846946,-10.86272839,-10.53197806,-8.554481777,-9.289932908,-13.02220335,-12.2105667,-7.245019861,-10.72682452,-7.596432408,-17.48284644,-16.07564721,-23.09616785,-14.69005692,-17.64384539,-17.18529621,-25.31023443,-21.93392112,-15.11086886,-17.73399224,-18.14855508,-17.38347826,-12.28046351,-15.63158611,-16.45998547
12.6621085,77.7052614,Krishnagiri,Ragi,Low,Short,1,1,0.254035262,0.26772229,0.135346756,0.043804502,0.27098831,0.291558288,0.285087719,0.110385064,0.065613454,0.258373206,0.17063359,0.244766089,0.180911297,0.251920123,0.155637255,0.249651972,0.093704483,0.068502742,0.157344485,0.198927135,0.046259407,0.026169861,-0.002189142,0.238012206,0.026171758,0.034007893,0.451113628,0.055439017,0.033378562,0.569083447,0.365664403,0.055149066,0.058391649,0.079650201,0.167676768,0.062807882,0.209541284,-10.15265472,-7.715151525,-7.715267012,-8.042815314,-6.931758396,-7.076338065,-7.767062173,-9.363671967,-9.078533535,-6.332146201,-8.191569549,-9.206459014,-3.988191052,-9.998565119,-6.258466678,-20.46839055,-18.83391949,-22.9361489,-15.61711915,-15.24026155,-17.15627726,-22.12034358,-17.5496694,-16.53102947,-14.5430631,-17.08583883,-14.88671865,-14.66677462,-9.865899545,-13.56154177
12.6621183,77.7052506,Krishnagiri,Ragi,Low,Short,1,1,0.339974457,0.290338897,0.147178163,0.053170375,0.371896461,0.333177242,0.411621292,0.128099174,0.067902018,0.383455583,0.166554735,0.324438202,0.317794486,0.327946768,0.213753582,0.2908103,0.093995196,0.078883355,0.230164159,0.273850908,0.051926298,0.025646007,-0.00502659,0.269773255,0.033821203,0.033862701,0.410276074,0.059753778,0.033128168,0.702459792,0.446136701,0.060504384,0.055485642,0.098728044,0.22133048,0.060240964,0.215766099,-10.15265472,-9.835158,-7.715267012,-8.042815314,-6.851809429,-7.897897756,-7.1582485,-8.713574598,-9.078533535,-6.332146201,-8.191569549,-9.206459014,-3.988191052,-6.440432857,-5.382229628,-20.46839055,-17.35302909,-22.9361489,-15.61711915,-17.34571805,-17.35667757,-21.35264732,-20.01586519,-16.53102947,-14.5430631,-17.08583883,-14.88671865,-14.66677462,-10.57776747,-12.47398943
12.662148,77.70491,Krishnagiri,Maize,Medium,Medium,2,2,0.230201672,0.260220318,0.140627835,0.04412582,0.273243802,0.273518742,0.209811651,0.101191867,0.068856601,0.190207972,0.176041667,0.190578158,0.138986014,0.194067797,0.121857923,0.291144803,0.089291194,0.076994758,0.200339271,0.465415363,0.040465012,0.023081362,-0.006337874,0.287414353,0.045694375,0.034588255,0.406474123,0.058024568,0.029449191,0.476869217,0.342800789,0.057634409,0.056668575,0.130604875,0.125051083,0.071877655,0.207144172,-15.07147084,-11.24392222,-10.53920194,-9.326934963,-14.11014382,-12.44018576,-10.33272165,-12.58129839,-9.235984909,-8.748443867,-14.48466264,-9.010508772,-8.440106774,-9.353743826,-8.371523389,-20.55460479,-16.29981422,-18.63008907,-14.69005692,-21.10256693,-17.84797209,-22.24789626,-20.01274821,-16.49833368,-14.27978659,-21.41717601,-16.57833904,-13.09608675,-16.45152643,-18.0636704
12.6621833,77.70235,Krishnagiri,Maize,Medium,Medium,2,2,0.325639739,0.403393264,0.170536734,0.186636685,0.348226752,0.350815025,0.365882353,0.171409366,0.066616673,0.283806658,0.156483367,0.591397849,0.415662651,0.620796835,0.246175243,0.539443684,0.08831563,0.049062535,0.541694915,0.6280077,0.058356941,0.024454976,-0.007801214,0.407189768,0.057823129,0.046849464,0.425738567,0.054816286,0.033660844,0.652756311,0.439693193,0.042548818,0.078940535,0.260767424,0.057731736,0.089447493,0.26060107,-12.58527019,-9.887262835,-9.944932561,-8.737563661,-11.91773574,-7.109431687,-8.583307029,-8.007196607,-10.62556067,-6.896752186,-12.68701771,-8.496917767,-11.60609481,-9.223515959,-4.428487129,-19.45163165,-14.88084249,-16.42958911,-14.94281539,-17.96339513,-17.82764399,-15.09603821,-11.9790829,-14.32856861,-15.32347254,-14.6123556,-16.76654515,-17.44460691,-14.92191948,-13.76468103
12.6624125,77.703196,Krishnagiri,Ragi,Low,Short,1,1,0.249002582,0.203726404,0.148532896,0.109689922,0.279341476,0.261021693,0.290374547,0.126716183,0.065693431,0.384743643,0.170924793,0.316929134,0.24052674,0.325403119,0.125771239,0.336815807,0.094541019,0.042804257,0.252412196,0.356006851,0.049874171,0.024802813,-0.00116144,0.206141684,0.142309034,0.037778552,0.222929936,0.056607534,0.02924614,0.383329353,0.356054836,0.042972805,0.053004368,0.328903654,0.126513785,0.148117432,0.252501,-9.379272532,-7.919189067,-7.831003168,-6.030341106,-10.29575036,-8.660671044,-10.03595186,-10.17367218,-7.561280483,-7.386455003,-10.11966446,-8.48595854,-8.686746681,-5.326145969,-8.026872738,-22.51883065,-17.74121721,-18.56366204,-13.95822781,-16.42248472,-15.51112143,-18.81396495,-15.30950915,-14.14375205,-17.18656782,-19.82236275,-15.33244257,-14.05806721,-15.06262116,-11.40524686
12.6626067,77.70361,Krishnagiri,Maize,Medium,Medium,2,2,0.349176471,0.258595642,0.160204828,0.133122029,0.41259092,0.34891407,0.466252909,0.122916667,0.066766692,0.551486428,0.184661601,0.4979967,0.450674974,0.474981142,0.250331126,0.393109742,0.087209302,0.069458516,0.222063549,0.497384689,0.048342541,0.027283062,-0.002905288,0.201091902,0.140868291,0.039568042,0.35728623,0.055916775,0.036319174,0.583198708,0.466585662,0.044651918,0.054490531,0.360201511,0.152891311,0.180569514,0.244918908,-11.47725526,-7.914506689,-8.757861023,-13.9446674,-8.999802314,-8.614140511,-11.13299215,-9.770977955,-10.74089773,-7.121581959,-6.249926741,-10.20081038,-7.723160274,-11.20754499,-12.09024803,-17.84888346,-20.84559632,-16.73454947,-16.60354806,-15.84205199,-16.96083313,-14.51008902,-14.3224709,-15.42220802,-18.5303421,-19.11232883,-18.65702063,-16.48580008,-13.61281599,-15.25626135
12.663305,77.7037317,Krishnagiri,Ragi,Low,Short,1,1,0.204740292,0.206180075,0.132166791,0.185773075,0.264128495,0.275636364,0.298455598,0.121024735,0.061703722,0.415578358,0.184609954,0.489781197,0.380406462,0.43427355,0.137235367,0.365695793,0.093531875,0.049144362,0.137342908,0.233127185,0.058740767,0.025949605,-0.001532959,0.200412868,0.263506064,0.023034794,0.2043058,0.057266072,0.034080554,0.330923248,0.355473017,0.065337073,0.047388447,0.309683605,0.256795132,0.119255515,0.245915033,-14.86365569,-11.05266664,-12.66504538,-13.0637441,-9.796719682,-11.58716876,-11.85604035,-10.52826556,-9.373575797,-10.25812337,-11.47275723,-13.08849511,-12.36735511,-13.81532878,-11.65475311,-21.99418192,-17.67813561,-17.03596978,-17.35892414,-17.29120148,-18.59731924,-14.31241816,-13.99084106,-14.34000742,-16.55158766,-17.56604408,-21.52316496,-16.15808944,-18.89970872,-15.08438969
