Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.13337183,0.235212654,0.004140421,-0.035923526,0.092438936,0.05625388,-0.048466042,0.120584994,-0.086418465,0.311065495,-0.06248416,-11.84315713,-5.17464101,-11.58650522,-3.06831646,-7.009517149,-4.540209817,-9.307274083,-6.098842708,-9.333040883,-6.257902895,-2.882938255,-2.969010962,-5.757195046,-7.120509391,-10.18708749,-19.80203693,-15.82497879,-16.86328492,-13.54403173,-17.45768784,-17.08403708,-15.42134485,-15.57561242,-14.68100188,-11.14977465,-12.58569477,-14.59208038,-13.55507727,-15.44418979,-22.15554405
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.016667276,0.022756785,0,0.002040505,-0.026594192,-0.006234798,-0.09208332,0.023999154,0.178865641,-0.153045178,0.088878303,-0.198107556,-5.135591503,-9.300729075,-11.65561665,-3.513933059,-10.53064003,-5.19308838,-11.71191393,-7.666542952,-6.551931907,-7.465132852,-4.318273406,-4.04119509,-8.056013009,-9.776983656,-8.034891867,-13.4095962,-15.4557869,-22.17998206,-16.03890805,-18.72367946,-13.76678803,-17.61111866,-17.87340732,-16.33779679,-13.83315058,-14.75570941,-11.77489434,-15.59534071,-13.95931913,-10.31329443
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.068245411,0.100175634,0.055825248,0.048478484,0.075048313,0.008214727,0.089886889,0.11537984,-0.021535136,0.100251496,0.068787321,-9.885897243,-5.1188019,-6.489942805,-5.331196832,-8.473622303,-3.923142043,-6.176752067,-6.857421207,-8.527252962,-9.102830904,-8.74619398,-8.271896202,-5.745079378,-4.200461738,-3.882054541,-18.22638665,-20.33381295,-20.54443921,-17.60125243,-18.3584268,-17.05206215,-20.43137642,-17.04021112,-15.68001374,-17.81078289,-16.40848373,-16.40579106,-14.11001544,-15.12782135,-19.04540851
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.041745842,0.057341099,0.099777162,-0.030492246,0.026026905,-0.178077608,-0.083148062,0.018155098,-0.141153157,0.054636002,-0.005851686,-10.0606474,-8.776877917,-7.838072734,-10.2054848,-11.64697625,-7.180499374,-7.752458166,-13.79688711,-8.15479196,-9.08876107,-13.24928726,-10.30465897,-12.30162342,-11.54422408,-8.866360992,-12.88118292,-17.67049381,-14.07518698,-18.46176024,-17.82525913,-15.0947922,-13.89483114,-14.00082789,-17.16345153,-16.7622234,-17.35354452,-14.41357379,-17.06549785,-16.71549057,-16.00248031
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.041745842,0.057341099,0.099777162,-0.030492246,0.026026905,-0.178077608,-0.083148062,0.018155098,-0.141153157,0.054636002,-0.005851686,-9.142620318,-8.329716456,-10.3500316,-10.30308173,-12.44144531,-8.127306078,-8.980256339,-10.81530007,-8.483679909,-11.14831177,-10.60948931,-13.83489395,-7.870996014,-11.27194533,-10.65082782,-14.19436749,-15.98586394,-15.90799548,-18.23461585,-18.52335267,-16.03441124,-13.50608242,-14.75426311,-17.03581853,-16.42990696,-15.11944806,-15.01248472,-15.65086299,-16.00917394,-19.61740239
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.041745842,0.057341099,0.099777162,-0.030492246,0.026026905,-0.178077608,-0.083148062,0.018155098,-0.141153157,0.054636002,-0.005851686,-6.596453787,-7.555039226,-11.98161097,-7.973511807,-8.908031118,-9.044009134,-10.20112759,-9.937506758,-10.25014724,-10.58498542,-9.520622578,-10.83064391,-10.91145742,-10.92588336,-8.97167718,-13.92499877,-15.92697369,-12.94681776,-16.21056454,-17.87635948,-16.04505998,-13.37930625,-15.77463033,-15.21712945,-16.11246383,-13.43628316,-12.73987635,-16.96774135,-14.91867856,-19.65276989
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.176204413,0.173994392,0.082446903,0,0.005247802,-0.108469188,-0.177310646,0.02404663,0.083503753,0.162568301,0.172750682,-0.126064062,-9.402801097,-12.38115616,-6.881787182,-7.893635495,-14.77974073,-7.380074298,-11.85707487,-13.00021059,-10.57448172,-11.81450726,-10.68353329,-9.138444093,-12.55213767,-11.40235089,-10.87999051,-16.55364021,-14.67392585,-17.53681444,-15.42874629,-17.15918954,-12.1637737,-19.64551503,-18.29377447,-16.36345582,-18.66964494,-19.11343313,-17.64033711,-16.09256332,-16.91542652,-13.77058413
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.040844947,0.119385958,0.077940941,0,0.014551044,0.045142725,0.011086077,-0.075226575,0.066349179,0.142941505,0.223989249,0.444392622,-5.496225743,-11.15417891,-8.723957727,-5.63661778,-7.356752742,-6.931066558,-9.100930614,-8.488743279,-7.329591498,-9.735580792,-6.985882506,-6.45604684,-6.661777269,-6.62456035,-7.186919023,-16.14375756,-13.77531926,-14.92448651,-13.99826221,-12.04335977,-14.76328196,-19.51595121,-14.05263856,-17.44637147,-15.52187932,-17.68186574,-13.30719317,-12.71127445,-9.771364734,-15.08745993
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.010178238,0.058054924,0.063455164,0.084403873,-0.053486541,-0.013316721,0.031593829,-0.195828594,0.050124675,0.076337129,-0.065140605,-9.645894527,-11.06273494,-11.15800842,-6.832690874,-9.872311078,-4.292253209,-8.941016566,-12.0990828,-9.38202856,-6.196706524,-8.589045352,-7.408783722,-8.45709191,-7.125935317,-4.999916534,-16.69502979,-16.96659579,-17.23594707,-14.93065417,-18.44851588,-17.62145315,-13.52369582,-16.76675378,-19.04055629,-17.73787687,-15.53523904,-13.97453473,-15.73397958,-15.8446405,-12.37333673
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.010178238,0.058054924,0.063455164,0.084403873,-0.053486541,-0.013316721,0.031593829,-0.195828594,0.050124675,0.076337129,-0.065140605,-9.645894527,-11.06273494,-10.84128624,-6.832690874,-9.872311078,-7.82673697,-8.941016566,-6.978451251,-9.124573874,-6.196706524,-8.589045352,-6.972277798,-8.45709191,-9.16798009,-6.070894983,-16.69502979,-16.96659579,-16.73119339,-14.93065417,-18.44851588,-16.93343737,-13.52369582,-16.83815745,-16.6320075,-17.73787687,-15.53523904,-13.72559107,-15.73397958,-14.52993046,-12.20423839
