Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
175000,5850,0.28342122,2396.333333,1362.666667,1616.666667,1480.0,1237.333333,2739.666667,-0.114327402,2.036819263,15,-2.186291711,0.30499163,0.552234797,43.04059015,0.38541996,-0.30499163,0.578055057,87.550122,25.63607666
175001,5851,0.2893089,2272.333333,1202.333333,1603.333333,1473.0,1224.666667,2754.0,-0.117115905,2.043827115,15,-2.283193573,0.30956373,0.559349761,43.74670443,0.39281502,-0.30956373,0.58914606,87.550122,25.63616649
175002,5852,0.2925837,2272.333333,1202.333333,1613.333333,1488.333333,1242.0,2846.333333,-0.11347758,2.046506836,15,-2.715617578,0.31879348,0.566583662,44.74178424,0.39967158,-0.31879348,0.599432034,87.55021183,25.63616649
175003,5853,0.27457452,2580.0,1547.666667,1611.666667,1494.333333,1271.0,2790.333333,-0.101032529,2.033274276,15,-2.968939727,0.30826995,0.547234353,42.5228707,0.38042793,-0.30826995,0.570569873,87.55030166,25.63616649
175004,5854,0.2930333,2272.333333,1202.333333,1597.333333,1467.333333,1216.333333,2763.666667,-0.118814089,2.047689753,15,-2.343183183,0.31270084,0.563582283,44.16404916,0.39717227,-0.31270084,0.595681076,87.550122,25.63625633
175005,5855,0.31170332,2272.333333,1202.333333,1604.0,1484.666667,1220.0,2958.0,-0.120622471,2.072641483,15,-3.193221844,0.33640864,0.58746288,47.36832035,0.42219898,-0.33640864,0.633221117,87.55021183,25.63625633
175006,5856,0.29481015,2580.0,1547.666667,1633.333333,1526.666667,1268.666667,2957.333333,-0.111181662,2.053032542,15,-3.334069989,0.32304448,0.57095144,46.06162204,0.40454638,-0.32304448,0.606746554,87.55030166,25.63625633
175007,5857,0.24889131,2580.0,1547.666667,1664.666667,1575.0,1385.666667,2914.333333,-0.076312758,2.018659507,15,-6.472576671,0.30143648,0.524627247,40.88033914,0.35805354,-0.30143648,0.537017209,87.5503915,25.63625633
175008,5858,0.30084658,2313.0,1198.333333,1598.0,1478.666667,1217.333333,2845.0,-0.119757544,2.056455219,15,-2.681333099,0.32205644,0.57441538,45.6699442,0.4081455,-0.32205644,0.612140849,87.550122,25.63634616
175009,5859,0.31617686,2313.0,1198.333333,1607.666667,1498.666667,1226.666667,3021.666667,-0.12091575,2.083061595,15,-3.636200617,0.34127837,0.592351139,48.31912709,0.42807296,-0.34127837,0.64203253,87.55021183,25.63634616
175010,5860,0.29158708,2646.666667,1570.333333,1633.666667,1525.0,1281.333333,2983.0,-0.104610228,2.051051219,15,-3.820984445,0.32710755,0.569119707,45.7461617,0.4026234,-0.32710755,0.60386339,87.55030166,25.63634616
175011,5861,0.24199216,2646.666667,1570.333333,1659.0,1574.666667,1383.333333,2841.0,-0.077242917,2.018554941,15,-5.103471988,0.2896897,0.513569733,39.77407429,0.34814638,-0.2896897,0.522156872,87.5503915,25.63634616
175012,5862,0.32104886,2313.0,1198.333333,1597.333333,1478.333333,1204.333333,2998.666667,-0.125070505,2.077234978,15,-3.172116451,0.34490246,0.599534059,48.63834083,0.4336229,-0.34490246,0.650355172,87.550122,25.63643599
175013,5863,0.31256676,2313.0,1198.333333,1623.333333,1502.666667,1244.0,3040.333333,-0.116668767,2.075888171,15,-3.591136345,0.34280774,0.589785673,47.89601044,0.4247221,-0.34280774,0.637007492,87.55021183,25.63643599
