Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_height,Correct
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.314571887,0.284290671,0.24906145,0.284000099,0.227379233,0.191004306,0.112069674,0.331490934,0.379816204,0.4013502,0.513152301,0.049355302,-10.46590722,-13.11639402,-8.653861807,-8.024656725,-8.217095931,-8.666885815,-10.30714622,-10.00236591,-9.712809931,-12.74050667,-11.13396545,-5.505050308,-7.770037672,-10.94240784,-6.743080464,-19.3624968,-15.37898689,-22.65699123,-21.5242412,-14.18159148,-18.65058925,-15.61766027,-16.48201646,-19.6068566,-18.19358032,-16.52460068,-15.01199372,-12.93665454,-21.05408733,-16.3282466,2,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.195711061,0.181339994,0.228897929,0.244877666,0.11426799,0.117901213,0.05011335,0.273820221,0.026400866,0.04840086,0.39566806,0.393259525,-9.951517605,-9.085986227,-7.383645572,-7.805469005,-6.463682004,-4.843495077,-5.340420164,-9.728348243,-7.925977039,-6.475258565,-6.982228923,-8.029473014,-7.460665501,-8.874223021,-2.176761344,-20.10616585,-18.59979143,-20.84556684,-14.98317103,-17.16996137,-20.48574896,-17.58462643,-16.90539766,-16.51128683,-16.56863764,-21.76403722,-17.54852429,-14.69862347,-16.33321727,-16.3659209,2,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.324717879,0.275735199,0.212034434,0.252464563,0.147584736,0.103351697,0.02726342,0.200233907,0.303592801,0.0298279,0.423352093,0.268552363,-6.149464705,-7.632986231,-2.004270765,-6.257649463,-8.041054856,-7.855483947,-8.135380718,-4.801973843,-2.823262118,-5.85141577,-7.322962855,-3.676338109,-3.969581257,-7.538743361,-5.01461918,-20.10545881,-14.83249639,-14.50291395,-12.87616185,-15.83178335,-14.87338682,-19.86311626,-14.00032634,-18.2027626,-19.40850971,-17.27341403,-13.75760513,-12.53524093,-15.10137483,-13.90608928,2,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.324717879,0.275735199,0.212034434,0.252464563,0.147584736,0.103351697,0.02726342,0.200233907,0.303592801,0.0298279,0.423352093,0.268552363,-8.285711759,-9.685809937,-3.974144792,-5.823959753,-6.382371833,-7.136545468,-9.396279307,-8.939965445,-6.659965992,-6.580148677,-8.103667372,-5.661174975,-5.369785658,-7.538743361,-5.769404708,-18.87540583,-15.5141088,-17.0230028,-13.57718626,-18.25112335,-17.49918166,-20.84935035,-15.47527106,-17.71095058,-23.3394702,-17.87251657,-14.17419794,-15.6166872,-15.10137483,-14.49345817,2,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.189118877,0.189446896,0.218565509,0.239411294,0.079000525,0.182879806,0.084414549,0.283989131,0.345084727,0.127297401,0.233159006,0.238452658,-10.18259075,-6.192879207,-9.48337375,-5.547321443,-4.271723012,-1.952509724,-10.37831583,-12.22357177,-14.13695479,-9.118067726,-10.31593314,-8.99863923,-7.383052872,-5.8097703,-7.873652921,-15.61330436,-20.30633816,-18.93151148,-13.54919784,-11.98245161,-12.66951155,-18.1729258,-14.03071572,-16.45274009,-16.15422699,-15.57602337,-14.90455316,-16.26618263,-12.80099647,-16.46614392,2,False
Groundnut,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.318017483,0.330655187,0.321842641,0.436247021,0.306387544,0.306402266,0.245992586,0.120049998,0.428077817,0.136374757,0.372035265,0.410056412,-6.899076605,-9.46027129,-6.523958905,-8.117210143,-4.954239464,-3.169707178,-8.787583541,-7.602519594,-7.292427197,-8.865250041,-8.123447037,-5.746946588,-4.661244956,-7.101296124,-3.714916637,-18.11610072,-20.4971546,-18.46865487,-14.88199946,-17.67520951,-14.9410465,-17.38098791,-19.5851838,-15.8672215,-22.90386704,-18.08584253,-14.65878773,-12.67236493,-15.67601331,-14.43632224,3,False
Groundnut,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.292290598,0.324498832,0.355758011,0.340485185,0.373914152,0.133162126,0.170865253,0.154013664,0.096395481,0.038777299,0.33702454,0.113105118,-13.9240654,-13.37504412,-8.435292491,-9.946219688,-10.87357634,-12.33090817,-9.148251077,-9.058938229,-12.04253756,-8.095363836,-11.90621046,-11.24934534,-8.493124084,-10.5481295,-7.522835826,-14.73712744,-12.97925927,-15.43063902,-15.22690961,-17.06711323,-19.96829738,-17.82621184,-20.70972848,-19.69181467,-17.33603525,-19.55430651,-18.20431821,-15.58206391,-17.50185679,-15.10707615,2,False
Sweet Potato,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.33638671,0.348385662,0.442894429,0.550537944,0.213116691,0.193258941,0.090314314,0.066337265,0.095074486,0.123811707,0.42272982,0.263317496,-12.19688054,-9.073940781,-9.876687568,-5.029515585,-11.02070718,-8.172745593,-5.861562662,-15.86152897,-7.392415153,-5.047691453,-7.287939493,-4.655090939,-6.972145988,-7.212927633,-5.524382871,-16.38823399,-18.53486433,-19.97466785,-14.31517887,-14.74793039,-13.00330855,-15.27485675,-14.90765283,-20.06245566,-14.3338028,-17.82324995,-15.49696097,-14.22831349,-14.19469942,-14.02655906,3,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.233271837,0.23547858,0.289903462,0.386526644,0.0592429,0.187789351,0.09930478,0.329944849,0.225795008,0.121645167,0.426226079,0.304906219,-10.66401514,-10.67192564,-9.380843223,-8.93373493,-7.634773091,-7.50324231,-10.89785785,-6.842660956,-5.984909912,-6.428217555,-8.997765709,-12.22338658,-8.292814047,-7.599002075,-10.28597517,-15.78083399,-13.81453394,-16.64063698,-12.62254844,-12.34617264,-15.79812059,-16.10677253,-16.83356917,-18.09383187,-15.73407318,-15.88417561,-13.54495167,-15.27733604,-11.61438152,-12.22063666,3,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.216845796,0.285952061,0.552599311,0.36713171,0.086216494,0.277818799,0.109501198,0.10677629,0.500045121,0.086064897,0.318973631,0.291902959,-15.27960148,-11.67667114,-8.360762984,-5.103029088,-5.796913229,-9.158164489,-8.500669403,-6.232723929,-7.979287512,-10.78534747,-8.786885065,-8.790293342,-10.05896904,-8.166059113,-7.525644169,-18.01302591,-20.20698616,-16.6664193,-15.54140504,-14.41695885,-14.92414462,-16.03686465,-14.52344914,-13.92227629,-12.42753539,-14.72024572,-16.94351005,-11.89800153,-15.36776262,-18.00736911,1,False
