Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_height,Correct
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.309729993,0.315819502,0.293062717,0.295103222,0.266468525,0.286827919,0.200979397,0.317061871,0.471928358,0.140017539,0.38194102,0.094955161,-5.135591503,-9.300729075,-11.65561665,-3.513933059,-10.53064003,-5.19308838,-11.71191393,-7.666542952,-6.551931907,-7.465132852,-4.318273406,-4.04119509,-8.056013009,-9.776983656,-8.034891867,-13.4095962,-15.4557869,-22.17998206,-16.03890805,-18.72367946,-13.76678803,-17.61111866,-17.87340732,-16.33779679,-13.83315058,-14.75570941,-11.77489434,-15.59534071,-13.95931913,-10.31329443,2,False
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.142801553,0.211046964,0.242977187,0.198626801,0.191280037,0.217849866,0.15101628,0.232688442,0.258181393,0.121266417,0.243053049,0.211588874,-9.885897243,-5.1188019,-6.489942805,-5.331196832,-8.473622303,-3.923142043,-6.176752067,-6.857421207,-8.527252962,-9.102830904,-8.74619398,-8.271896202,-5.745079378,-4.200461738,-3.882054541,-18.22638665,-20.33381295,-20.54443921,-17.60125243,-18.3584268,-17.05206215,-20.43137642,-17.04021112,-15.68001374,-17.81078289,-16.40848373,-16.40579106,-14.11001544,-15.12782135,-19.04540851,2,False
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5941118,0.591901779,0.50035429,0.417907387,0.423155189,0.309438199,0.240596741,0.441954017,0.50141114,0.580475688,0.590658069,0.291843325,-9.402801097,-12.38115616,-6.881787182,-7.893635495,-14.77974073,-7.380074298,-11.85707487,-13.00021059,-10.57448172,-11.81450726,-10.68353329,-9.138444093,-12.55213767,-11.40235089,-10.87999051,-16.55364021,-14.67392585,-17.53681444,-15.42874629,-17.15918954,-12.1637737,-19.64551503,-18.29377447,-16.36345582,-18.66964494,-19.11343313,-17.64033711,-16.09256332,-16.91542652,-13.77058413,2,False
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.244765311,0.323306322,0.281861305,0.203920364,0.218471408,0.249063089,0.215006441,0.128693789,0.270269543,0.346861869,0.427909613,0.648312986,-5.496225743,-11.15417891,-8.723957727,-5.63661778,-7.356752742,-6.931066558,-9.100930614,-8.488743279,-7.329591498,-9.735580792,-6.985882506,-6.45604684,-6.661777269,-6.62456035,-7.186919023,-16.14375756,-13.77531926,-14.92448651,-13.99826221,-12.04335977,-14.76328196,-19.51595121,-14.05263856,-17.44637147,-15.52187932,-17.68186574,-13.30719317,-12.71127445,-9.771364734,-15.08745993,2,False
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.267871201,0.278049439,0.325926125,0.331326365,0.352275074,0.21438466,0.25455448,0.29946503,0.072042607,0.317995876,0.34420833,0.202730596,-9.645894527,-11.06273494,-11.15800842,-6.832690874,-9.872311078,-4.292253209,-8.941016566,-12.0990828,-9.38202856,-6.196706524,-8.589045352,-7.408783722,-8.45709191,-7.125935317,-4.999916534,-16.69502979,-16.96659579,-17.23594707,-14.93065417,-18.44851588,-17.62145315,-13.52369582,-16.76675378,-19.04055629,-17.73787687,-15.53523904,-13.97453473,-15.73397958,-15.8446405,-12.37333673,2,False
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.267871201,0.278049439,0.325926125,0.331326365,0.352275074,0.21438466,0.25455448,0.29946503,0.072042607,0.317995876,0.34420833,0.202730596,-9.645894527,-11.06273494,-10.84128624,-6.832690874,-9.872311078,-7.82673697,-8.941016566,-6.978451251,-9.124573874,-6.196706524,-8.589045352,-6.972277798,-8.45709191,-9.16798009,-6.070894983,-16.69502979,-16.96659579,-16.73119339,-14.93065417,-18.44851588,-16.93343737,-13.52369582,-16.83815745,-16.6320075,-17.73787687,-15.53523904,-13.72559107,-15.73397958,-14.52993046,-12.20423839,2,False
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.240050942,0.252085745,0.274831384,0.259781599,0.248079166,0.215428099,0.227241188,0.280888885,0.091683365,0.355983377,0.34252876,0.16201663,-10.04220171,-11.49065697,-9.574143785,-7.015551425,-6.154848353,-6.517516914,-6.731732599,-7.381729242,-9.825775721,-4.699137662,-5.841114191,-8.274640923,-6.228566574,-9.849931849,-4.377720922,-17.96305858,-18.18493734,-19.16911988,-17.97238757,-19.05518292,-18.66846691,-16.85240873,-17.81080292,-20.35457738,-18.55853825,-16.57969649,-16.94871122,-19.25277022,-13.81837631,-12.93300326,2,False
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.223935455,0.258580625,0.300112069,0.300373763,0.285978794,0.238906652,0.298578322,0.220766976,0.405483246,0.09290731,0.465771496,0.408816099,5.578198595,5.08884532,4.758504325,-2.165125551,3.800963101,2.152990724,4.60408885,3.726603342,2.684574948,3.840178848,5.240687481,2.741066515,-0.70555786,3.716828122,0.162892114,-17.71327109,-18.10643885,-20.52187428,-13.79915957,-14.89080283,-16.40947945,-15.22303847,-20.05928171,-15.07307358,-17.0013665,-13.1593302,-15.69285987,-15.36857901,-14.06585012,-16.20602126,2,False
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.264416218,0.269213915,0.335711449,0.317795396,0.268731445,0.075798452,0.041351918,0.36151281,0.472567767,0.047600236,0.083161741,0.396733701,-10.15650228,-10.29356423,-5.677862175,-5.795536115,-9.863958266,-6.438912223,-8.916988623,-11.17874692,-7.56732226,-10.51252411,-11.37059532,-10.81033825,-6.456954349,-7.501909941,-7.38590871,-15.53021779,-17.55500145,-13.32218681,-17.40574134,-13.99480292,-15.91464442,-21.06137906,-20.12634008,-16.48541761,-17.70938644,-18.2829395,-14.1365375,-13.60245749,-15.06308755,-13.89154321,2,False
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.229314148,0.242366523,0.208613753,0.257170439,0.082655475,0.156592712,0.127146602,0.119787358,0.366332769,0.088606864,0.249820098,0.246098757,-10.64587495,-12.49796987,-11.52446234,-6.065535093,-11.75212795,-6.679807567,-15.28514734,-10.22309338,-13.14992549,-10.11228038,-11.30297117,-12.03543471,-7.175920774,-9.594384927,-9.130300716,-18.51123435,-16.42167942,-17.79238147,-13.10542739,-16.37157789,-12.65045569,-13.88685948,-15.98539563,-15.13826146,-12.7916595,-18.24551252,-18.3541734,-16.54734118,-14.50945926,-13.0420457,2,False
