Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_duration,Correct
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.314571887,0.284290671,0.24906145,0.284000099,0.227379233,0.191004306,0.112069674,0.331490934,0.379816204,0.4013502,0.513152301,0.049355302,-10.46590722,-13.11639402,-8.653861807,-8.024656725,-8.217095931,-8.666885815,-10.30714622,-10.00236591,-9.712809931,-12.74050667,-11.13396545,-5.505050308,-7.770037672,-10.94240784,-6.743080464,-19.3624968,-15.37898689,-22.65699123,-21.5242412,-14.18159148,-18.65058925,-15.61766027,-16.48201646,-19.6068566,-18.19358032,-16.52460068,-15.01199372,-12.93665454,-21.05408733,-16.3282466,1,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.195711061,0.181339994,0.228897929,0.244877666,0.11426799,0.117901213,0.05011335,0.273820221,0.026400866,0.04840086,0.39566806,0.393259525,-9.951517605,-9.085986227,-7.383645572,-7.805469005,-6.463682004,-4.843495077,-5.340420164,-9.728348243,-7.925977039,-6.475258565,-6.982228923,-8.029473014,-7.460665501,-8.874223021,-2.176761344,-20.10616585,-18.59979143,-20.84556684,-14.98317103,-17.16996137,-20.48574896,-17.58462643,-16.90539766,-16.51128683,-16.56863764,-21.76403722,-17.54852429,-14.69862347,-16.33321727,-16.3659209,1,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.574970007,0.272419631,0.397628427,0.366792947,0.24999167,0.098999292,0.091072373,0.385963857,0.205922548,0.025881238,0.373181492,0.249185428,-9.205959588,-10.63596927,-13.50692107,-9.22876198,-8.369071055,-9.575357844,-8.890212442,-10.75435759,-12.27350251,-10.0886481,-7.025176566,-10.0921422,-6.638030372,-7.582080091,-6.219411181,-18.11535061,-16.8005077,-22.98859158,-10.85761001,-12.05018997,-16.80118191,-20.45388611,-12.87195391,-16.45994502,-16.12788218,-15.52698393,-17.28615751,-13.71292404,-15.92529089,-15.38116552,1,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.21918197,0.250355005,0.244263098,0.255999446,0.078799337,0.054266661,0.026043711,0.428316563,0.231841234,0.035365906,0.476935863,0.252586126,-11.37667526,-10.28521147,-10.86952737,-5.022228635,-9.037297897,-11.61173665,-10.0273138,-8.166569502,-10.03790304,-7.053707428,-8.298667659,-10.07373303,-8.292136181,-9.680133622,-6.207985771,-16.41209545,-19.09784888,-23.60629983,-12.99019621,-13.28325454,-15.4059415,-18.20961785,-12.30793515,-12.97784623,-14.48087302,-15.55186678,-12.87641536,-15.19382005,-18.21620537,-13.61466908,1,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.324717879,0.275735199,0.212034434,0.252464563,0.147584736,0.103351697,0.02726342,0.200233907,0.303592801,0.0298279,0.423352093,0.268552363,-6.149464705,-7.632986231,-2.004270765,-6.257649463,-8.041054856,-7.855483947,-8.135380718,-4.801973843,-2.823262118,-5.85141577,-7.322962855,-3.676338109,-3.969581257,-7.538743361,-5.01461918,-20.10545881,-14.83249639,-14.50291395,-12.87616185,-15.83178335,-14.87338682,-19.86311626,-14.00032634,-18.2027626,-19.40850971,-17.27341403,-13.75760513,-12.53524093,-15.10137483,-13.90608928,1,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.324717879,0.275735199,0.212034434,0.252464563,0.147584736,0.103351697,0.02726342,0.200233907,0.303592801,0.0298279,0.423352093,0.268552363,-8.285711759,-9.685809937,-3.974144792,-5.823959753,-6.382371833,-7.136545468,-9.396279307,-8.939965445,-6.659965992,-6.580148677,-8.103667372,-5.661174975,-5.369785658,-7.538743361,-5.769404708,-18.87540583,-15.5141088,-17.0230028,-13.57718626,-18.25112335,-17.49918166,-20.84935035,-15.47527106,-17.71095058,-23.3394702,-17.87251657,-14.17419794,-15.6166872,-15.10137483,-14.49345817,1,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.221514136,0.251585007,0.368647963,0.508125305,0.272096574,0.060399182,0.043487806,0.213158742,0.049782924,0.049706783,0.509628713,0.387781262,-11.84145195,-14.77265117,-11.40321706,-5.776499458,-4.857314331,-7.664454957,-11.22176644,-8.047598541,-5.887117436,-6.294962408,-8.97678777,-6.822811507,-6.853232781,-8.152673394,-9.059827791,-17.91278456,-18.29849117,-20.40543164,-14.83893795,-17.56273143,-14.74378202,-17.43410855,-19.57344126,-13.27750069,-12.78776807,-15.81985695,-15.19023164,-15.94074833,-15.6292436,-12.30886506,1,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.189118877,0.189446896,0.218565509,0.239411294,0.079000525,0.182879806,0.084414549,0.283989131,0.345084727,0.127297401,0.233159006,0.238452658,-10.18259075,-6.192879207,-9.48337375,-5.547321443,-4.271723012,-1.952509724,-10.37831583,-12.22357177,-14.13695479,-9.118067726,-10.31593314,-8.99863923,-7.383052872,-5.8097703,-7.873652921,-15.61330436,-20.30633816,-18.93151148,-13.54919784,-11.98245161,-12.66951155,-18.1729258,-14.03071572,-16.45274009,-16.15422699,-15.57602337,-14.90455316,-16.26618263,-12.80099647,-16.46614392,1,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.192060903,0.188535362,0.199171677,0.161232263,0.070676535,0.060972389,0.074851438,0.276376009,0.32931906,0.109470807,0.090514682,0.2796731,-14.14855314,-9.459006129,-12.57434102,-7.927501108,-8.45657751,-6.183279692,-7.485871338,-9.161472661,-7.488916492,-7.944595546,-10.51316753,-6.383521005,-6.78121407,-8.933076329,-8.690285456,-17.49209601,-20.13461489,-15.96634535,-14.24807902,-17.03183551,-17.12254803,-21.80220314,-18.03157046,-19.76086718,-15.33533547,-16.99416574,-18.55973908,-13.42076448,-15.18281583,-13.94508071,1,False
Ginger,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.181208655,0.184719175,0.20528312,0.196527243,0.068469517,0.063193254,0.077259749,0.294045269,0.283118486,0.103792854,0.10399399,0.240798742,-11.35385524,6.403847423,-11.30893918,-8.406469459,-6.815260039,-7.583024409,-14.09315792,-9.514106157,-8.186230498,-8.642794306,-8.174516056,-10.79097875,-7.974180684,-9.480727519,-7.258732161,-21.19929101,-10.83794885,-19.53941921,-14.37096105,-20.47423695,-16.27707018,-20.61149093,-19.38003578,-15.18872427,-16.05179647,-16.03954434,-14.54202889,-14.42866053,-14.54504933,-13.56101537,1,False
