Latitude,Longitude,Name,Crop_Name,Duration,Height,height_numeric,duration_numeric,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_height,Correct
12.862968,77.8283026,Bangalore Rural,Coconut,Long,Tall,3,3,0.301871249,0.286695279,0.257074532,0.307280176,0.33732834,0.412184674,-0.008554853,0.02986913,0.158198811,0.365197117,0.390166702,0.108073989,0.416421569,0.376385174,0.386750664,0.275318506,0.344389403,-0.007260992,0.507503902,0.244143033,0.171232877,0.006024096,0.025309541,0.281323877,0.012148823,0.146489454,0.236927792,0.077694236,0.07096347,0.35950645,0.059414776,0.139434377,0.182448037,0.271793055,0.380417335,0.23151646,0.019618913,-11.62946527,-9.182902574,-11.21497818,-10.29234369,-10.05381269,-9.06463129,-10.54625548,-13.23172661,-11.53802781,-12.28814777,-8.631307731,-12.46029861,-10.90137341,-10.54579132,-8.754375592,-18.50799841,-20.99556233,-16.00798003,-18.0120083,-13.86717442,-18.47407981,-15.99924506,-20.67665696,-15.32973761,-13.72568912,-15.20451273,-18.33596646,-16.06673271,-18.35744577,-15.96593857,1,False
12.8631557,77.8281598,Bangalore Rural,Coconut,Long,Tall,3,3,0.230033278,0.233305509,0.208875287,0.197853309,0.23694312,0.306812986,0.034124025,0.038232795,0.143196471,0.288349709,0.250602857,0.129574443,0.240576027,0.277934849,0.247911353,0.244586667,0.288374017,-0.005251111,0.411658789,0.226765799,0.179578032,0.006415094,0.029902138,0.238958991,0.011792668,0.160956938,0.171501631,0.073748388,0.066055246,0.285223368,0.053345725,0.14336231,0.171559633,0.261766261,0.315195072,0.176022835,0.017605883,-17.06226314,-11.76787901,-12.16225756,-4.935595935,-10.61253861,-10.44871101,-12.04442331,-12.43495283,-8.690448684,-10.42340271,-10.05723362,-11.93886141,-9.608552616,-12.71357996,-10.15794763,-22.07646822,-13.5885816,-12.63022561,-16.51598342,-15.95839246,-16.98902069,-14.45440043,-22.96505651,-14.56429156,-14.85085408,-15.63695083,-14.06656935,-15.6110297,-23.73302252,-14.4088619,1,False
12.8708199,77.831753,Bangalore Rural,Redgram,Medium,Medium,2,2,0.158680472,0.178481303,0.174364191,0.220641373,0.165817653,0.293993182,0.224787776,0.158438206,0.146386758,0.440233824,0.360799472,0.256762559,0.275389927,0.249512447,0.234677419,0.223433934,0.219980788,-0.008326,0.260118726,0.006255064,0.128327849,0.010161043,0.023508459,0.229971182,0.102396514,0.114705611,0.020624904,0.083343715,0.042630058,0.253553416,0.051056848,0.090951711,0.159038014,0.298541075,0.306373176,0.341228486,0.021531275,-7.628546098,-10.30565141,-6.586157952,-6.613478428,-11.52640339,-9.877021912,-8.525164996,-9.897539657,-7.384370173,-12.77475423,-11.48288914,-9.224737073,-9.012762223,-8.090185043,-7.113113682,-20.30563726,-14.89917067,-15.82888854,-11.5848699,-13.64171345,-13.31718607,-17.96987172,-16.47344907,-12.75739979,-17.56729454,-16.81873704,-16.97733053,-16.87290424,-19.34520715,-13.63038219,1,False
12.8708743,77.8285548,Bangalore Rural,Paddy,Medium,Short,1,2,0.21659751,0.214585582,0.203297895,0.224911361,0.161582603,0.264813844,0.237120595,0.056094294,0.138799225,0.249291054,0.28890993,0.323536737,0.366479989,0.484097983,0.272379129,0.392642839,0.272348189,-0.005917956,0.178725068,0.036175822,0.107934656,0.008082861,0.027080344,0.203690808,0.159140615,0.105871546,0.090293585,0.077388882,0.047819032,0.365810452,0.043633965,0.080424012,0.155978151,0.254350241,0.23916743,0.2472606,0.017087295,-9.523947384,-5.183508837,-8.317913075,-12.3107109,-10.49723352,-5.923364097,-4.62858409,-8.116690002,-9.275530619,-8.029028634,-7.493996257,-9.15451898,-8.34795124,-7.444401666,-8.284670066,-21.30040137,-22.91555056,-21.77857031,-13.08871025,-17.25670378,-14.20356003,-16.19393062,-14.81558677,-17.74391867,-17.62517936,-17.53743016,-18.43165213,-14.70424799,-15.22328784,-15.25469157,2,False
12.8716613,77.8320541,Bangalore Rural,Redgram,Medium,Medium,2,2,0.294467874,0.321190476,0.303984978,0.361779628,0.269107258,0.474742521,0.443614372,0.094191523,0.160908509,0.369338959,0.586555983,0.592128801,0.510661901,0.537377981,0.403527815,0.382524272,0.239661869,-0.012016203,0.323038134,0.029126214,0.12323585,0.008530438,0.018852929,0.234919445,0.075987515,0.147402092,0.026736359,0.089146074,0.04012402,0.510753334,0.033740547,0.080788342,0.207064555,0.471800208,0.508266415,0.481747848,0.019331128,-7.067742665,-7.478558197,-8.554372291,-6.10073684,-11.23382356,-4.657636684,-9.54146881,-12.86775316,-9.214538655,-7.753289044,-7.073286094,-5.151683286,-10.91844472,-8.795945587,-8.679952341,-14.97330852,-15.87398,-22.42264353,-15.19381309,-14.32054713,-15.02555891,-15.6948737,-17.23749223,-20.57072396,-16.07489225,-14.53749298,-17.95841523,-19.06233728,-17.93353116,-17.14411869,3,False
12.8732359,77.8316091,Bangalore Rural,Jowar,Low,Medium,2,1,0.491237113,0.460161804,0.411134904,0.23277291,0.336292741,0.537048685,0.08126379,0.216492693,0.147448015,0.072732862,0.594707828,0.575300839,0.588543768,0.608915055,0.170449966,0.439629327,0.197580645,-0.006902322,0.271362332,0.039584453,0.110193974,0.00308404,0.02033239,0.198303979,0.184561858,0.101159191,0.028510444,0.088430173,0.046990143,0.502457002,0.044409817,0.08378891,0.249218401,0.398579672,0.529297586,0.577525507,0.021960843,-6.759443608,-4.572974104,-7.248421642,-6.676222788,-8.824653394,-6.593155968,-6.611221244,-9.281686132,-8.561873368,-8.661661919,-6.251542858,-4.022812517,-5.884394172,-11.06703563,-4.233570445,-15.33486709,-14.9548543,-11.84433602,-12.60374246,-14.08021294,-14.26064763,-13.1077647,-17.41702896,-13.03685351,-13.15516172,-15.52478202,-14.65008718,-16.29093832,-19.20433732,-15.41465981,3,False
12.8742275,77.8313811,Bangalore Rural,Jowar,Low,Medium,2,1,0.497637795,0.418100224,0.367278798,0.157178352,0.307473983,0.482569788,0.077111247,0.083379416,0.153746351,0.440879207,0.594209354,0.445876289,0.697423109,0.657199308,0.377092222,0.42403388,0.325904678,-0.007030534,0.450880182,0.029302643,0.100396301,0.0041841,0.01935713,0.198137863,0.431057085,0.078650147,0.037368029,0.092927371,0.055498002,0.537222294,0.042109406,0.077893048,0.216730038,0.286125013,0.44808327,0.568662364,0.022301517,-3.530295591,-8.609598394,-9.058256198,-4.611920636,-6.853646393,-7.633340092,-6.085950838,-2.939139051,-6.074564353,-6.904391293,-6.124971711,-2.906213312,-4.002035029,-8.49995785,-3.680914062,-14.69734826,-13.95523463,-18.14444789,-13.0480584,-13.34768464,-13.5415839,-13.56750747,-12.56058071,-14.90839716,-10.29465803,-16.11957986,-8.134882826,-12.35420923,-15.09241651,-13.63073603,3,False
12.8914418,77.8188954,Bangalore Rural,Jowar,Low,Medium,2,1,0.337110482,0.26407545,0.259224552,0.387861422,0.210675752,0.394213126,0.122472051,0.110381717,0.11893222,0.31853117,0.466887417,0.481290323,0.481908421,0.575300277,0.491223733,0.092013396,0.263377056,-0.008316008,0.213671585,0.43871936,0.084221471,0.004994797,0.009966777,0.211331161,0.064697162,0.012436975,0.046490091,0.062132112,0.076561889,0.272294372,0.259475219,0.052010178,0.193965517,0.364506902,0.25800091,0.306361389,0.020884956,-6.83894051,-10.95351937,-10.12687553,-8.042675111,-8.616678775,-9.516016696,-6.943063059,-11.9547749,-7.491324517,-8.034661779,-6.824806331,-9.586414704,-7.161650963,-10.87204062,-7.707092248,-16.13961349,-15.5563964,-13.90649575,-16.19134245,-11.4044165,-12.96730809,-10.35744682,-12.84252814,-15.01178646,-14.42038998,-16.66850169,-20.33149207,-12.83013441,-15.91106468,-15.04926329,3,False
12.8918821,77.8201149,Bangalore Rural,Jowar,Low,Medium,2,1,0.197330367,0.191914705,0.182779598,0.176056338,0.128128128,0.284706393,0.27904975,0.167304015,0.111485004,0.250921463,0.422193325,0.418336887,0.346917118,0.440041819,0.340085703,0.07314866,0.220189021,-0.009432654,0.292934783,0.288994801,0.076271186,0.003605047,0.012824573,0.17223414,0.152880776,0.003837953,0.024914805,0.057865595,0.101355014,0.286214953,0.202910565,0.052064632,0.21487965,0.427694744,0.289940828,0.282559456,0.023186131,-13.63070393,-9.911624546,-11.31454357,-9.60509743,-11.60533285,-10.5056098,-10.11932853,-7.568467445,-12.39052566,-10.9026164,-9.072560608,-9.546120141,-6.27740597,-7.214260767,-7.360815186,-19.62223644,-19.6212692,-20.32091252,-15.51880588,-15.20558812,-16.30315017,-15.53432881,-19.28637617,-17.48008474,-15.59115543,-19.19991054,-15.27030531,-13.48543494,-14.28939517,-13.54805982,1,False
12.891921,77.8201697,Bangalore Rural,Jowar,Low,Medium,2,1,0.180808716,0.166818596,0.158552269,0.195191757,0.123053742,0.243956508,0.229995946,0.183501037,0.106302091,0.238386648,0.329789496,0.361358124,0.310468594,0.465555556,0.19294071,0.066517948,0.180440493,-0.005749913,0.201570681,0.185976628,0.078741169,0.003713741,0.016063464,0.179954442,0.156325301,0.007924609,0.031859285,0.056737203,0.088597322,0.312438786,0.239291405,0.052354089,0.231949458,0.369450854,0.309531829,0.352369909,0.021746881,-14.33467358,-11.15283986,-11.79095412,-9.399523761,-10.93148705,-9.47902386,-9.54727537,-8.730172487,-12.88681769,-11.60097065,-10.53900375,-7.980342605,-8.587887637,-9.706877744,-9.228290595,-17.81430597,-21.05360272,-17.69799374,-17.47671889,-15.47545771,-16.28859389,-16.96270667,-21.56175431,-20.00904736,-16.22480693,-21.14593923,-14.51346007,-14.94775029,-17.07254009,-18.23479795,1,False
